城市,标题,类别,薪资,五险一金,包住,包吃,年底双薪,周末双休,交通补助,加班补助,饭补,话补,房补,标签,公司名称,链接,平均薪资
北京,霍营|不用经验包住,网约车司机,9000-12000,无,包住,无,无,无,无,无,无,无,无,职位刚刚发布,北京聚才科技有限公司,https://legoclick.58.com/jump?target=szqBpB3draOWUvYf0v-JpitvnWDLnWDkP1DOrHnvPM980v6YUykKnH01rj01PH9LnWc3rjnQPWnLnW9LPH03rHDkTHDkP1cvP1mYP1TOrjDLrTDKPWcQP1cQnj0QrHb1PWmKnHbknWTKnHbknWTKPW0YTHDQPHTKnH0YPH9YPW9YnWDdP9DQTgGkgLKWgvP6IARxuhnKnEDQTywfIywGgLGCmyqkpyOxuvQfmh7_xjD_uy-WgLK1gLPWgL7YgLGkgvulp-qWIZFx0AwxIh--IdqWmyQGgvqYpARzxjD_IAR80vqzuhQfIzYQrH9OniQ5RbRiX7KHsZwbgLPWgL7Ygvulp-q-XZKxmvGluZkQs7wD0dqDHYO7sDPaR7qyn9DVnEDKnHbQPWnQn1mLn1DQnjb1n1NkPTDkTEDQTHcQuHEYuHP6syNdPHbVPj7bmBd6mH7BsHmknvDkrHmzPvRbu9DQrHDvn1D1PW01nWDdrj01njcdTHDOnHm1nHnvP1nQrHE3nWnvrjDKTEDKPz31rHNzPWmKTiYKTEDKTHDzna3dnz3zn1b8rHnKnTDkTEDdP1E_PWczTgVqTHDknHDOTHDknjnvPjcKryn3uHELmvmVrjTLraYYrHIBsyDzuH9VPWn3mHPbuyD3ujELTEDkTEDdrD7ENTDkTEDkTEDYrjEknjTKTH6-rjNknH0duADduWT1mHF-rHnYPjbQm1nLuW6-rjmYTEDYny7-uj6WuhDzPWN3mymz&adact=3&psid=173873587228831637287578910&entinfo=62172107199366_&ytdzwdetaildj=0&tjfrom=pc_list_search_cate_mxn__173873587228831637287578910__815696674378514432__fangke__N__0__null__null__eyJyIjp7InNwbSI6IiIsImluZm9pZCI6IjYyMTcyMTA3MTk5MzY2Iiwic2xvdCI6InBjX2xpc3Rfc2VhcmNoX2NhdGVfbXhuIiwidHlwZSI6ImZhbmdrZSIsInNpZCI6IjE3Mzg3MzU4NzIyODgzMTYzNzI4NzU3ODkxMCIsInV0bSI6IiJ9LCJ0IjoxLCJ2IjoxLCJ3Ijp7ImxlZ29FeHQiOiJ7XCJGUkVFX1NVUFBPUlRfTElNSVRcIjpcIjBcIixcIkJJTExJTkdfQklEX1RcIjpcIjEuMFwiLFwiU1VCU0NSSUJFX0lEXCI6XCIxOTE2MzEzNjczMjE1ODczMDI1XCIsXCJVU0VfQklEX09SX0ZBQ1RPUlwiOlwiMFwiLFwiQklEX1dFSUdIVFwiOlwiMS4wXCIsXCJPUklHSU5BTF9CSURcIjpcIjQ4NDAwMFwifSJ9fQ%3D%3D,10500
北京,昌平|C1司机轩逸网约司机,商务司机,9000-13000,无,无,无,无,无,无,无,无,无,无,该企业简历处理率高,北京鑫伟宏业商贸有限公司,"https://legoclick.58.com/jump?target=szqBpB3draOWUvYf0v-JpitdrH01rHczPH9LnHTQPZ980v6YUykKnH01rj01PH9LnWc3rjnQPWnLnW9LPH03rHDkTHDkPW9knjmQP1NOPHcknkDKPHbLn1bznWN3P1DknHEKnHmzPHDKnHmzPHDKPW0YTHDQPHTKnH0YPH9YPW9YnWDdP9DzTgGkgLKWgvP6IARxuhnKnEDQTywfIywGgLGCmyqkpyOxuvQfmh7_xjD_uy-WgLK1gLPWgL7YgLGkgvulp-qWIZFx0AwxIh--IdqWmyQGgvqYpARzxjD_IAR80vqzuhQfIzYQrH9OniQ5RbRiX7KHsZwbgLPWgL7Ygvulp-q-XZKxmvGluZkQs7wD0dqDHYO7sDPaR7qyn9DVnEDKnHbQPj9vP10dPHNOn1Nzn1cknTDkTEDQTyc3mycOPhN3syc3myEVPj-WPzdBn1F6syDdnhE1nvRbrH9Yn9DQrHDYrjmLP1NdPWb3n1m3PHDzTHDOnHE3PW0LPHNvP101rHmOrHnKTEDKPB31n1NkP1cKTiYKTEDKTHDzna3dnz3zn1b8rHnKnTDkTEDdP1E_PWczTgVqTHDknHDOTHDknjnvPjcKPyc1rjNvPHNVmH9LmBYYPj7Wsycdrj9VmHb3nvDduhmQuhwBTEDkTEDdrD7ENTDkTEDkTEDdnWTknjTKTEDKPH66rHcOnWw-nHNdPj-6mE&adact=3&psid=173873587228831637287578910&entinfo=59739225871014_&ytdzwdetaildj=0&tjfrom=pc_list_search_cate_mxn__173873587228831637287578910__815696674378514432__fangke__K,N__1__null__null__eyJyIjp7InNwbSI6IiIsImluZm9pZCI6IjU5NzM5MjI1ODcxMDE0Iiwic2xvdCI6InBjX2xpc3Rfc2VhcmNoX2NhdGVfbXhuIiwidHlwZSI6ImZhbmdrZSIsInNpZCI6IjE3Mzg3MzU4NzIyODgzMTYzNzI4NzU3ODkxMCIsInV0bSI6IiJ9LCJ0IjoxLCJ2IjoxLCJ3Ijp7ImxlZ29FeHQiOiJ7XCJGUkVFX1NVUFBPUlRfTElNSVRcIjpcIjBcIixcIkJJTExJTkdfQklEX1RcIjpcIjEuMFwiLFwiU1VCU0NSSUJFX0lEXCI6XCIxOTE0ODY3NzU1Njk4MzY4NTEyXCIsXCJVU0VfQklEX09SX0ZBQ1RPUlwiOlwiMFwiLFwiQklEX1dFSUdIVFwiOlwiMS4wXCIsXCJPUklHSU5BTF9CSURcIjpcIjUyMDAwMFwifSJ9fQ%3D%3D",11000
北京,良乡|A1班车司机云冈到太阳宫,班车司机,5000-8000,无,无,无,无,周末双休,无,无,无,无,无,无需经验可入职，放心投递,北京市晟铭旅游客运服务有限公司,"https://legoclick.58.com/jump?target=szqBpB3draOWUvYf0v-JpitvnHcOnjbvnj93P1T3nZ980v6YUykKnH01rj01PH9LnWc3rjnQPWnLnW9LPH03rHDkTHnQPj9zP10QTEDvnHcOnjbvnj93P1T3nTDzrHDdTHcOnHNKPW0YTHDQPHTKnH0YPH9YPW9YnWDdP9D1TgGkgLKWgvP6IARxuhnKnEDQTywfIywGgLGCmyqkpyOxuvQfmh7_xjD_uy-WgLK1gLPWgL7YgLGkgvulp-qWIZFx0AwxIh--IdqWmyQGgvqYpARzxjD_IAR80vqzuhQfIzYQrH9OniQ5RbRiX7KHsZwbgLPWgL7Ygvulp-q-XZKxmvGluZkQs7wD0dqDHYO7sDPaR7qyn9DVnEDKnHbQPjDOrj9vPHTvPWmQrj93nTDkTEDQTHK-nHTvPhNOsH0LrHnVPjczniYOPyNzsyE1PvcYnjPBPhnOm9DQrHDYnHb3rjmdnHmLn1mknjTkTHDOnHEQrH93PWNQPHTdnjEOPWTKTEDKni3zrHD3nHDKTiYKTEDKTHDzna3dnz3zn1b8rHnKnTDkTEDdP1E_PWczTgVqTHDknHDOTHDknjnvPjcKnj--mhc3PvDVPHNLuBYYuj0LsH-6rHmVmHm1uAEQPWRhPvFWTEDkTEDdrD7ENTDkTEDkTEDzPHTknjTKTEDKnvc1rjw6PHndmHnYn1Nknk&adact=3&psid=173873587228831637287578910&entinfo=61290960887080_&ytdzwdetaildj=0&tjfrom=pc_list_search_cate_mxn__173873587228831637287578910__815696674378514432__fangke__L,N__2__null__null__eyJyIjp7InNwbSI6IiIsImluZm9pZCI6IjYxMjkwOTYwODg3MDgwIiwic2xvdCI6InBjX2xpc3Rfc2VhcmNoX2NhdGVfbXhuIiwidHlwZSI6ImZhbmdrZSIsInNpZCI6IjE3Mzg3MzU4NzIyODgzMTYzNzI4NzU3ODkxMCIsInV0bSI6IiJ9LCJ0IjoxLCJ2IjoxLCJ3Ijp7ImxlZ29FeHQiOiJ7XCJGUkVFX1NVUFBPUlRfTElNSVRcIjpcIjBcIixcIkJJTExJTkdfQklEX1RcIjpcIjEuMFwiLFwiU1VCU0NSSUJFX0lEXCI6XCIxOTE0MTk4ODY1MTY3MzYwMDAwXCIsXCJVU0VfQklEX09SX0ZBQ1RPUlwiOlwiMFwiLFwiQklEX1dFSUdIVFwiOlwiMS4wXCIsXCJPUklHSU5BTF9CSURcIjpcIjI1MDAwMFwifSJ9fQ%3D%3D",6500
北京,昌平|渠道经理（有供电局家属背景）,渠道经理/主管,10000-15000,五险一金,包住,包吃,年底双薪,周末双休,无,无,无,无,无,低门槛职位，不要错过,北京环亚科泰科技有限公司,"https://legoclick.58.com/jump?target=szqBpB3draOWUvYfXyRLIitvnHmknj01rHDOPH91nZ980v6YUykKnH01rj01PH9LnWc3rjnQPWnLnW9LPH03rHDkTHEvPW0OrHNLPHnkPWnLTEDvnHmknj01rHDOPH91nTDkTHDknTDvP1EKnHDdnTDQP1EdrjEvrjEznH9kTHDKXMKx0APxmv7YuRqhmkDQTHDKuAqduA-xXh66ULKGU-qMUAqBmyQtniQ-pyPx0ZPx0vPx0gwxXMKxuMGJgvPY0-qku7qvpyRLgvP6UA-xULwCugFtniQYuyO1ULFhUAqLsHDOrjbQsDqywRF3N7n_IAwx0vPx0gwxuMGJgvR307qWpMGbxjD_RDw1gYw5HbN_EYFNgdmzTiYQTEDQrHDdnH9drjnkP1bzPHEYnWNvTHTKTHDKn1TLPjKbmycVuHNLnBYYuWT3sHb3mH0VmHcOnHubrHu6uWbkTHDOnHNQrjN3n1T3P1mYn1EYn1cKnHbQPHD3PH91nj9dPHNvnHcQP9DKTEDQsWTdn1cOPkDKsEDKTEDKnHcksWN1sWc1ri3OnkDkTHTKTHNLPakdrjTKXLYKnHTQnjbKnHTkn1mYn97-mhNzuAubrad-P1mLsHEdrAcVmWckPzYzn16bmHmYnjELuAEKTHTKTHN3ERKETHTKTHTKTHTKTEDKmvRBPvP-rHELuHRWPvnkrT&adact=3&psid=173873587228831637287578910&entinfo=61600739195830_&ytdzwdetaildj=0&tjfrom=pc_list_search_cate_mxn__173873587228831637287578910__815696674378514432__superjob__I,J__3__null__null__eyJyIjp7InNwbSI6IiIsImluZm9pZCI6IjYxNjAwNzM5MTk1ODMwIiwic2xvdCI6InBjX2xpc3Rfc2VhcmNoX2NhdGVfbXhuIiwidHlwZSI6InN1cGVyam9iIiwic2lkIjoiMTczODczNTg3MjI4ODMxNjM3Mjg3NTc4OTEwIiwidXRtIjoiIn0sInQiOjEsInYiOjEsInciOnsibGVnb0V4dCI6IntcIkZSRUVfU1VQUE9SVF9MSU1JVFwiOlwiMFwiLFwiU1VCU0NSSUJFX0lEXCI6XCIxOTE1MTg1ODMwODc2NDM0NDMyXCIsXCJVU0VfQklEX09SX0ZBQ1RPUlwiOlwiMFwiLFwiT1JJR0lOQUxfQklEXCI6XCIwXCJ9In19",12500
北京,立水桥|地质工程师,岩土工程师,5000-10000,无,无,无,无,无,无,加班补助,无,无,无,无需经验可入职，放心投递,北京中钰鑫盛资源科技有限公司,https://legoclick.58.com/jump?target=szqBpB3draOWUvYfXMKhmyOMmv66UhGGmyOlpZNfPWcQrjcOP1NvPHmYrHP3sMPCIAd_THDLn19Ln1N3P1czrj91nHm1P1c3P1NLrjbQnTDQnHDvPjNQPW0vPWELnHcKTHmznH9zrH0dPWNvPjb1THTKnHTkTHmLPTDQnHNkTHDLPjN3Pjm3PjcQrjTKn97l07qkmdqWmgw-gvuWTHDKnE7bULRbpRqlpA7f0A-8gvI_UvF6UZkQsARGmdqk0dq1mdqQI7ql07qhXhGxmLwzgLKbgLuGugIxmv7_pRqfIA6-0MkQsZw-UMPf0hu_UL0VnHb3rHD_Hdu7NM6ENzQYu7q1mdqQI7qhXhGxug6kgvPJXhwtniQNwZPxwDqrwiQjE-wxRWcKsHDKTHDOnHmvPWbQPWczn1bOnWcQP1mKnTDKnEDkP166rH6BmBYzP193sHEQmhNVmWNznaYdPy7WP17bPvNkPyNKnHbQPWmvrHDvnWnQrHmQn1bdn9DQrHDvPWmOnHmznWb3PHm3P1TYTEDKTHD8njELP1NKTiYKTEDKTHDzna3dnz3zn1b8rHnKnTDkTEDdP1E_PWTzTgVqTHDknHTOTHDknjnvPjcKmvuWnyNLrjEVryDkniYYnAcOsHbLnjDVrj01rAmLmvm1myNkTEDkTEDdrD7ENTDkTEDkTEDkTEDKTyNvPADkPvD3n1NOrHTQujT&adact=3&psid=173873587228831637287578910&entinfo=62182975656493_&ytdzwdetaildj=0&tjfrom=pc_list_search_cate_mxn__173873587228831637287578910__815696674378514432__superjob__J__4__null__null__eyJyIjp7InNwbSI6IiIsImluZm9pZCI6IjYyMTgyOTc1NjU2NDkzIiwic2xvdCI6InBjX2xpc3Rfc2VhcmNoX2NhdGVfbXhuIiwidHlwZSI6InN1cGVyam9iIiwic2lkIjoiMTczODczNTg3MjI4ODMxNjM3Mjg3NTc4OTEwIiwidXRtIjoiIn0sInQiOjEsInYiOjEsInciOnsibGVnb0V4dCI6IntcIkZSRUVfU1VQUE9SVF9MSU1JVFwiOlwiMFwiLFwiU1VCU0NSSUJFX0lEXCI6XCIxOTE2NjY5MTYyMzE5NjEzOTUyXCIsXCJVU0VfQklEX09SX0ZBQ1RPUlwiOlwiMFwiLFwiT1JJR0lOQUxfQklEXCI6XCIwXCJ9In19,7500
北京,立水桥|地质工程师,岩土工程师,5000-10000,无,无,无,无,无,无,加班补助,无,无,无,职位刚刚发布,北京中钰鑫盛资源科技有限公司,https://legoclick.58.com/jump?target=szqBpB3draOWUvYfXMKhmyOMmv66UhGGmyOlpZNfPWcQrjnknjcknW0QrH-3sMPCIAd_THDLn19Ln1N3P1czrj91nHm1P1c3P1NLrjbQnTDQnHDvPjNQPW0vPWELnHcKTHmznH91njTznjcLnHbOTHTKnHTkTHmLPTDQnHNkTHDLPjN3Pjm3PjcQrjTKnk7l07qkmdqWmgw-gvuWTHDKnE7bULRbpRqlpA7f0A-8gvI_UvF6UZkQsARGmdqk0dq1mdqQI7ql07qhXhGxmLwzgLKbgLuGugIxmv7_pRqfIA6-0MkQsZw-UMPf0hu_UL0VnHb3rHD_Hdu7NM6ENzQYu7q1mdqQI7qhXhGxug6kgvPJXhwtniQNwZPxwDqrwiQjE-wxRWcKsHDKTHDOnHmvPWbOrH03nWTvrHEdnWbKnTDKnE7-nvR6mhu6uid-PHRBsHEknHNVrj6bPzd6rA7hrHPhujFBujbKnHbQPWmvrHbOP1bknjE3rj0kPEDQrHDvPWmOrHbLrj91PWbdnHTYTEDKTHD8njELPj0LTEDVTEDKTEDQnWT8PHn8nWnOsWb1THTKnTDKPH0Ysjmkn97exEDQnjDkrEDQnjT1PWEzTHmzuHcdnH6-sHF-PWcVPAm3PBd6PhcYsHmQmWTvnANkuAubrTDKnTDKPH6KN7TKnTDKnTDKnTDKTE7BPhEkmyF6uhE1m1-Wn1-b&adact=3&psid=173873587228831637287578910&entinfo=62183002027199_&ytdzwdetaildj=0&tjfrom=pc_list_search_cate_mxn__173873587228831637287578910__815696674378514432__superjob__J__5__null__null__eyJyIjp7InNwbSI6IiIsImluZm9pZCI6IjYyMTgzMDAyMDI3MTk5Iiwic2xvdCI6InBjX2xpc3Rfc2VhcmNoX2NhdGVfbXhuIiwidHlwZSI6InN1cGVyam9iIiwic2lkIjoiMTczODczNTg3MjI4ODMxNjM3Mjg3NTc4OTEwIiwidXRtIjoiIn0sInQiOjEsInYiOjEsInciOnsibGVnb0V4dCI6IntcIkZSRUVfU1VQUE9SVF9MSU1JVFwiOlwiMFwiLFwiU1VCU0NSSUJFX0lEXCI6XCIxOTE2NjY5OTk3OTAwNDg4NzA1XCIsXCJVU0VfQklEX09SX0ZBQ1RPUlwiOlwiMFwiLFwiT1JJR0lOQUxfQklEXCI6XCIwXCJ9In19,7500
北京,北七家|解放军医院招护工30名包住可…,护工/护理,8000-12000,五险一金,包住,无,无,无,交通补助,无,无,无,无,无需经验可入职，放心投递,北京尚乐居家政服务有限公司,"https://legoclick.58.com/jump?target=szqBpB3draOWUvYfph-6Xh6-UhIBmyqJpyR3py3fPH9OPW9zPHnYPjcYrju3sMPCIAd_THDLn19Ln1N3P1czrj91nHm1P1c3P1NLrjbQnTDQnjNzP1NLP1DknWTkrH0KTHN3rHm3nWN1PjEzPj9vTHTKnHTkTHmLPTDQnHNkTHDLPjN3Pjm3PjcQrjTKPT7l07qkmdqWmgw-gvuWTHDKnE7bULRbpRqlpA7f0A-8gvI_UvF6UZkQsARGmdqk0dq1mdqQI7ql07qhXhGxmLwzgLKbgLuGugIxmv7_pRqfIA6-0MkQsZw-UMPf0hu_UL0VnHb3rHD_Hdu7NM6ENzQYu7q1mdqQI7qhXhGxug6kgvPJXhwtniQNwZPxwDqrwiQjE-wxRWcKsHDKTHDOnHNvnjbdnjEzPjc3PjnvPj9KnTDKnEDvn1IWPH7-rid-nvEksHwWPWTVmHFbnzYzuW93PHc3mW0OmhNKnHbQPHmkrHNkPjnQrjnYnHDznTDQrHDdPWTOPHTYn1TQPjmQPHTYTEDKTHD8njEvn101TEDVTEDKTEDQnWT8PHn8nWnOsWb1THTKnTDKPH0YsjmzPE7exEDQnjDkrEDQnjT1PWEzTH0OmHnkn1NQsHmYPvDVPjELPad6nvDYsHTOPhFWnjKWuj0YmEDKnTDKPH6KN7TKnTDKnTDKnTDKTE7hnyw6mWmkujKbPWNQmyR6&adact=3&psid=173873587228831637287578910&entinfo=58968253442486_&ytdzwdetaildj=0&tjfrom=pc_list_search_cate_mxn__173873587228831637287578910__815696674378514432__superjob__I,L,J__6__null__null__eyJyIjp7InNwbSI6IiIsImluZm9pZCI6IjU4OTY4MjUzNDQyNDg2Iiwic2xvdCI6InBjX2xpc3Rfc2VhcmNoX2NhdGVfbXhuIiwidHlwZSI6InN1cGVyam9iIiwic2lkIjoiMTczODczNTg3MjI4ODMxNjM3Mjg3NTc4OTEwIiwidXRtIjoiIn0sInQiOjEsInYiOjEsInciOnsibGVnb0V4dCI6IntcIkZSRUVfU1VQUE9SVF9MSU1JVFwiOlwiMFwiLFwiU1VCU0NSSUJFX0lEXCI6XCIxOTE1NjA5NTA0MzE4MzQxMTIwXCIsXCJVU0VfQklEX09SX0ZBQ1RPUlwiOlwiMFwiLFwiT1JJR0lOQUxfQklEXCI6XCIwXCJ9In19",10000
北京,沙河|五险晚班店员有意电话联系,店员/营业员,5000-8000,无,无,无,无,无,无,无,无,无,无,无需经验可入职，放心投递,北京妙美时代科技有限公司,"https://legoclick.58.com/jump?target=szqBpB3draOWUvYfmv66ULPCpgPCmyOMXyNfPHb3n1TLnWT3nHnznWI3sMPCIAd_THDLn19Ln1N3P1czrj91nHm1P1c3P1NLrjbQnTDYn1EOPHEkPHTLP1TQnkDKPHb3n1TLnWT3nHnznW0KnTDQnjTKPW0YTHDQPHTKnH0YPH9YPW9YnWD3nTDvTgGkgLKWgvP6IARxuhnKnEDQTywfIywGgLGCmyqkpyOxuvQfmh7_xjD_uy-WgLK1gLPWgL7YgLGkgvulp-qWIZFx0AwxIh--IdqWmyQGgvqYpARzxjD_IAR80vqzuhQfIzYQrH9OniQ5RbRiX7KHsZwbgLPWgL7Ygvulp-q-XZKxmvGluZkQs7wD0dqDHYO7sDPaR7qyn9DVnEDKnHbQPWEknH01nHTvn19OrjDQn9DkTEDQTycYn1TOnj6WsH-6nWDVPAP-mBY3mH--synkrA7hPHEOuywhrEDQrHDvPjTQP1nQnHE1PHmOPjTOTHDOnHmYnjDLn1DQnWcdnWTkPWmKTEDKni3kPjc3Pj9KTiYKTEDKTHDzna3dnz3zn1b8rHnKnTDkTEDdP1E_P1TvTgVqTHDknHTOTHDknjnvPjcKmHDYnjmkrymVnWnOuBYYujczsyDYP1nVPjEduW6bmHFhm1mYTEDkTEDdrD7ENTDkTEDkTEDkTEDKTHIhnAF6nyD1mWI6PvDOuWn&adact=3&psid=173873587228831637287578910&entinfo=59830720813227_&ytdzwdetaildj=0&tjfrom=pc_list_search_cate_mxn__173873587228831637287578910__815696674378514432__superjob__K,J__8__null__null__eyJyIjp7InNwbSI6IiIsImluZm9pZCI6IjU5ODMwNzIwODEzMjI3Iiwic2xvdCI6InBjX2xpc3Rfc2VhcmNoX2NhdGVfbXhuIiwidHlwZSI6InN1cGVyam9iIiwic2lkIjoiMTczODczNTg3MjI4ODMxNjM3Mjg3NTc4OTEwIiwidXRtIjoiIn0sInQiOjEsInYiOjEsInciOnsibGVnb0V4dCI6IntcIkZSRUVfU1VQUE9SVF9MSU1JVFwiOlwiMFwiLFwiU1VCU0NSSUJFX0lEXCI6XCIxOTE2NDAxNzMxMTQzNTY5NDA5XCIsXCJVU0VfQklEX09SX0ZBQ1RPUlwiOlwiMFwiLFwiT1JJR0lOQUxfQklEXCI6XCIwXCJ9In19",6500
北京,霍营|小区坐岗轻松没事4500队长好,门卫,4500-5000,无,包住,包吃,无,无,无,无,无,无,无,低门槛职位，不要错过,北京华远卫士保安服务有限公司,https://legoclick.58.com/jump?target=szqBpB3draOWUvYfph-6Xh6-UhIBmyqJpyR3py3fPHbznWTOn1DOnjDYPjP3sMPCIAd_THDLn19Ln1N3P1czrj91nHm1P1c3P1NLrjbQnTDQnjNLn1NkPHbQrjNLn1TKTHNOnWckrHnQrHTQPjE1THTKnHTkTHmLPTDQnHNkTHDLPjN3Pjm3PjcQrjDKPk7l07qkmdqWmgw-gvuWTHDKnE7bULRbpRqlpA7f0A-8gvI_UvF6UZkQsARGmdqk0dq1mdqQI7ql07qhXhGxmLwzgLKbgLuGugIxmv7_pRqfIA6-0MkQsZw-UMPf0hu_UL0VnHb3rHD_Hdu7NM6ENzQYu7q1mdqQI7qhXhGxug6kgvPJXhwtniQNwZPxwDqrwiQjE-wxRWcKsHDKTHDOnHDznHb1PH0zPjDOn10OnWTKnTDKnEDLPvDvmWN3naYdnjDvsHwhmhEVrHnQniYznW0kuHbdPhn3PHmKnHbQnHcQrHndP1nQP1nYPHc3nTDQrHDQnWDOn1NLnWbvPj0znjmYTEDKTHD8njEzPjD3TEDVTEDKTEDQnWT8PHn8nWnOsWb1THTKnTDKPH0YsjmzPE7exEDQnjDkrEDQnjT1PWEzTHNkPW7-n1PBsHbzm1mVPj0vuad6PWDvsH0knhw-nAn3PHRWuEDKnTDKPH6KN7TKnTDKnTDKnTDKTE7Bn17bnyNkuAmdmHTLuWRW&adact=3&psid=173873587228831637287578910&entinfo=59220931901443_&ytdzwdetaildj=0&tjfrom=pc_list_search_cate_mxn__173873587228831637287578910__815696674378514432__superjob__J__9__null__null__eyJyIjp7InNwbSI6IiIsImluZm9pZCI6IjU5MjIwOTMxOTAxNDQzIiwic2xvdCI6InBjX2xpc3Rfc2VhcmNoX2NhdGVfbXhuIiwidHlwZSI6InN1cGVyam9iIiwic2lkIjoiMTczODczNTg3MjI4ODMxNjM3Mjg3NTc4OTEwIiwidXRtIjoiIn0sInQiOjEsInYiOjEsInciOnsibGVnb0V4dCI6IntcIkZSRUVfU1VQUE9SVF9MSU1JVFwiOlwiMFwiLFwiU1VCU0NSSUJFX0lEXCI6XCIxOTExMjE5MzU3MzE3MzQ1MjgwXCIsXCJVU0VfQklEX09SX0ZBQ1RPUlwiOlwiMFwiLFwiT1JJR0lOQUxfQklEXCI6XCIwXCJ9In19,4750
北京,天通苑|高薪急招护士包食宿五险一金有…,护士,5000-6000,五险一金,包住,包吃,无,无,无,无,无,无,无,无需经验可入职，放心投递,北京康宝医健医疗科技有限公司,"https://legoclick.58.com/jump?target=szqBpB3draOWUvYfXMKOpg-dmyOOpyQGmytfPHDLnHcOnjTkPWEzPH63sMPCIAd_THDLn19Ln1N3P1czrj91nHm1P1c3P1NLrjbQnTDdnHEQnH9OnWbvPHmdnkDKPHDLnHcOnjTkPWEzPH9KnTDQnjTKPW0YTHDQPHTKnH0YPH9YPW9YnWD3nEDOTgGkgLKWgvP6IARxuhnKnEDQTywfIywGgLGCmyqkpyOxuvQfmh7_xjD_uy-WgLK1gLPWgL7YgLGkgvulp-qWIZFx0AwxIh--IdqWmyQGgvqYpARzxjD_IAR80vqzuhQfIzYQrH9OniQ5RbRiX7KHsZwbgLPWgL7Ygvulp-q-XZKxmvGluZkQs7wD0dqDHYO7sDPaR7qyn9DVnEDKnHbQPjEOrH9krjDOrHT1PWbzrEDkTEDQTH7WPWFWnHEQsHTvuAcVPj0zmiYOP1IBsHTdmW01PWcOm17-mEDQrHDYPjbOrjT3nW0knWEOrH9YTHDOnHEYrHb3nj9zPHndPjmYrHmKTEDKni3kn1bknWDKTiYKTEDKTHDzna3dnz3zn1b8rHnKnTDkTEDdP1E_PWDQTgVqTHDknHTOTHDknjnvPjcKuH--PjE1rANVn1DdPBYYuWIhsH9dPjmVmvubPv7WnWmznW9LTEDkTEDdrD7ENTDkTEDkTEDkTEDKTHNOrjcLnywBrHbzrAEvuhc&adact=3&psid=173873587228831637287578910&entinfo=51712900064258_&ytdzwdetaildj=0&tjfrom=pc_list_search_cate_mxn__173873587228831637287578910__815696674378514432__superjob__I,K,J__11__null__null__eyJyIjp7InNwbSI6IiIsImluZm9pZCI6IjUxNzEyOTAwMDY0MjU4Iiwic2xvdCI6InBjX2xpc3Rfc2VhcmNoX2NhdGVfbXhuIiwidHlwZSI6InN1cGVyam9iIiwic2lkIjoiMTczODczNTg3MjI4ODMxNjM3Mjg3NTc4OTEwIiwidXRtIjoiIn0sInQiOjEsInYiOjEsInciOnsibGVnb0V4dCI6IntcIkZSRUVfU1VQUE9SVF9MSU1JVFwiOlwiMFwiLFwiU1VCU0NSSUJFX0lEXCI6XCIxOTE0NDk5ODA4MjcwMjQ5OTg0XCIsXCJVU0VfQklEX09SX0ZBQ1RPUlwiOlwiMFwiLFwiT1JJR0lOQUxfQklEXCI6XCIwXCJ9In19",5500
