分区,小区名称,所在区域,房屋户型,建筑面积,套内面积,房屋朝向,装修情况,供暖方式,楼层高度,所在楼层,户型结构,建筑类型,建筑结构,梯户比例,配备电梯,挂牌时间,上次交易,房屋年限,抵押信息,交易权属,房屋用途,产权所属,房本备件,标题,总价,单价,地区,几室几厅,房屋面积,楼层,建立时间,户型,关注人数,发布日期,VR看装修,房本满五年,近地铁,房本满两年,随时看房,详情页
普陀,佳景公寓,普陀 甘泉宜川 内环内,2室1厅1厨1卫,91.84㎡,,东,简装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共7层),平层,板楼,钢混结构,,无,2024-09-11,2014-08-01,满五年,无抵押,商品房,普通住宅,共有,已上传房本照片,低调的张扬，深度品质追求！内环好房急售！,380万,"41,377元/平",佳景公寓 -甘泉宜川,2室1厅,91.84平米,"('中楼层(共7层)',)",1997年,板楼,86人关注,7个月以前发布,VR看装修,房本满五年,近地铁,,,https://sh.lianjia.com/ershoufang/107110782084.html
普陀,佳景公寓,普陀 甘泉宜川 内环内,2室2厅1厨1卫,90.32㎡,,南,精装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共7层),平层,板楼,钢混结构,,无,2023-11-05,2021-07-08,满两年,无抵押,商品房,普通住宅,非共有,已上传房本照片,佳景公寓 2室2厅 南,509万,"56,356元/平",佳景公寓 -甘泉宜川,2室2厅,90.32平米,"('中楼层(共7层)',)",1997年,板楼,52人关注,一年前发布,VR看装修,,近地铁,房本满两年,,https://sh.lianjia.com/ershoufang/107108423757.html
普陀,华经大厦,普陀 甘泉宜川 内环至中环,2室2厅1厨1卫,93.7㎡,,南,简装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共24层),平层,塔楼,钢混结构,两梯八户,有,2024-11-06,2016-12-19,满五年,有抵押 2700000万元 中国建设银行 金融公司垫资,商品房,普通住宅,共有,已上传房本照片,内环边，电梯高层，双南户型。地铁方便，步行900米,465万,"49,627元/平",华经大厦 -甘泉宜川,2室2厅,93.7平米,"('中楼层(共24层)',)",1996年,塔楼,5人关注,5个月以前发布,VR房源,房本满五年,近地铁,,,https://sh.lianjia.com/ershoufang/107111260926.html
普陀,宜川华庭,普陀 甘泉宜川 内环至中环,2室1厅1厨2卫,101.61㎡,,南,简装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共22层),平层,板楼,钢混结构,两梯四户,有,2025-04-19,2013-03-21,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,带产权车位 飞机户型 楼层好 视野开阔 两室两卫一厅,720万,"70,860元/平",宜川华庭 -甘泉宜川,2室1厅,101.61平米,"('高楼层(共22层)',)",2002年,板楼,2人关注,9天以前发布,VR看装修,房本满五年,近地铁,,,https://sh.lianjia.com/ershoufang/107112653420.html
普陀,华经大厦,普陀 甘泉宜川 内环至中环,2室1厅1厨1卫,93.7㎡,,南,精装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共24层),平层,塔楼,钢混结构,两梯八户,有,2025-02-15,2021-08-04,满两年,无抵押,商品房,普通住宅,非共有,已上传房本照片,好房！双南电梯两房 视野开阔无遮挡 近地铁 看房方便,490万,"52,295元/平",华经大厦 -甘泉宜川,2室1厅,93.7平米,"('中楼层(共24层)',)",1996年,塔楼,2人关注,2个月以前发布,VR房源,,近地铁,房本满两年,,https://sh.lianjia.com/ershoufang/107112003656.html
普陀,宜川华庭,普陀 甘泉宜川 内环至中环,2室1厅1厨1卫,101.61㎡,,南,简装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共22层),平层,板楼,钢混结构,两梯四户,有,2025-03-03,2018-06-19,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,飞机户型 内环边上 诚心出售 满五 户型方正,675万,"66,431元/平",宜川华庭 -甘泉宜川,2室1厅,101.61平米,"('低楼层(共22层)',)",2002年,板楼,5人关注,1个月以前发布,VR看装修,房本满五年,近地铁,,,https://sh.lianjia.com/ershoufang/107112177764.html
普陀,智荟苑,普陀 甘泉宜川 内环内,2室2厅1厨1卫,101.84㎡,,南,精装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共28层),平层,板楼,钢混结构,两梯五户,有,2023-08-09,2004-02-22,满五年,无抵押,商品房,普通住宅,共有,已上传房本照片,店长推荐，内环内，双南满五，近1/3/4号三条地铁交汇,730万,"71,682元/平",智荟苑 -甘泉宜川,2室2厅,101.84平米,"('低楼层(共28层)',)",2003年,板楼,41人关注,一年前发布,VR看装修,房本满五年,近地铁,,,https://sh.lianjia.com/ershoufang/107107747075.html
普陀,龚家宅,普陀 甘泉宜川 内环内,2室1厅1厨1卫,50.92㎡,50.92㎡,南 北,简装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,砖混结构,,无,2023-06-27,2003-12-17,满五年,有抵押 175万元 瑞丰银行 业主自还,商品房,普通住宅,非共有,已上传房本照片,⭐⭐⭐⭐『满五年V1』『中间楼层』『厨卫全明』,208万,"40,849元/平",龚家宅 -甘泉宜川,2室1厅,50.92平米,"('中楼层(共6层)',)",1990年,板楼,97人关注,一年前发布,VR看装修,房本满五年,近地铁,,随时看房,https://sh.lianjia.com/ershoufang/107107438117.html
普陀,龚家宅,普陀 甘泉宜川 内环内,2室1厅1厨1卫,56.35㎡,45.2㎡,南,精装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共6层),平层,板楼,砖混结构,一梯六户,有,2025-04-20,2016-04-09,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,⭐⭐⭐⭐『内环内电梯房』『近地铁』『厨卫全明边套』,283万,"50,222元/平",龚家宅 -甘泉宜川,2室1厅,56.35平米,"('高楼层(共6层)',)",1995年,板楼,6人关注,8天以前发布,VR看装修,房本满五年,近地铁,,,https://sh.lianjia.com/ershoufang/107112659543.html
普陀,平江盛世家园,普陀 甘泉宜川 内环内,2室1厅1厨1卫,64.81㎡,,东 北,精装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共27层),平层,塔楼,钢混结构,两梯八户,有,2024-03-21,2019-12-10,满五年,有抵押 160万元 农业银行 业主自还,商品房,普通住宅,共有,已上传房本照片,内环内，业主诚意出售，房龄新，拎包入住，店长直推,350万,"54,005元/平",平江盛世家园 -甘泉宜川,2室1厅,64.81平米,"('低楼层(共27层)',)",1997年,塔楼,33人关注,一年前发布,VR看装修,房本满五年,近地铁,,,https://sh.lianjia.com/ershoufang/107109316201.html
