分区,小区名称,所在区域,房屋户型,建筑面积,套内面积,房屋朝向,装修情况,供暖方式,楼层高度,所在楼层,户型结构,建筑类型,建筑结构,梯户比例,配备电梯,挂牌时间,上次交易,房屋年限,抵押信息,交易权属,房屋用途,产权所属,房本备件,标题,总价,单价,地区,几室几厅,房屋面积,楼层,建立时间,户型,关注人数,发布日期,VR看装修,房本满五年,近地铁,房本满两年,随时看房,详情页
朝阳,官悦欣园A区,朝阳 百子湾 四至五环,2室1厅1厨1卫,102.28㎡,76.85㎡,南 北,精装,自供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",底层 (共27层),平层,板楼,钢混结构,两梯四户,有,2024-11-24,2024-04-16,未满两年,无抵押,二类经济适用房,普通住宅,非共有,已上传房本照片,新上满五唯一，南北通透格局，两梯四户，明厨明卫,445万,"43,509元/平",官悦欣园A区 -百子湾,2室1厅,102.28平米,"('底层(共27层)',)",,板楼,45人关注,4个月以前发布,VR看装修,,,,随时看房,https://bj.lianjia.com/ershoufang/101127727961.html
大兴,保利首开熙悦春天,大兴 天宫院 六环外,4室1厅1厨2卫,96.81㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共27层),平层,板楼,钢混结构,两梯四户,有,2025-03-04,2017-02-25,满五年,无抵押,商品房,普通住宅,共有,已上传房本照片,熙悦春天四居室，户型方正，中高楼层，业主诚心售房,355万,"36,670元/平",保利首开熙悦春天 -天宫院,4室1厅,96.81平米,"('高楼层(共27层)',)",2016年,板楼,8人关注,1个月以前发布,VR房源,房本满五年,近地铁,,,https://bj.lianjia.com/ershoufang/101129203386.html
西城,白纸坊街25号院,西城 右安门内 二环内,2室1厅1厨1卫,60.28㎡,,东 西,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,混合结构,,无,2025-02-09,2012-12-13,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,西城二环内，1997年建成 正规两居室,449万,"74,486元/平",白纸坊街25号院 -右安门内,2室1厅,60.28平米,"('6层',)",1996年,板楼,7人关注,2个月以前发布,VR房源,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101128720739.html
石景山,七星园,石景山 鲁谷 四至五环,1室1厅1厨1卫,55.62㎡,,东 西,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,,无,2025-02-07,2025-01-23,未满两年,无抵押,已购公房,普通住宅,非共有,已上传房本照片,七星园，中间楼层，户型方正，格局合理，看房随时,179万,"32,183元/平",七星园 -鲁谷,1室1厅,55.62平米,"('中楼层(共6层)',)",1996年,板楼,22人关注,2个月以前发布,VR看装修,,,,随时看房,https://bj.lianjia.com/ershoufang/101128647696.html
昌平,领秀慧谷D区,昌平 回龙观 五至六环,2室1厅1厨1卫,71.93㎡,60.42㎡,南,精装,自供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共11层),平层,板楼,钢混结构,一梯三户,有,2024-09-11,2017-04-01,满五年,有抵押 100万元,商品房,普通住宅,非共有,已上传房本照片,领秀慧谷D区，电梯房高楼层，车库直达，有储物间,450万,"62,561元/平",领秀慧谷D区 -回龙观,2室1厅,71.93平米,"('中楼层(共11层)',)",,板楼,23人关注,7个月以前发布,VR看装修,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101126538373.html
大兴,富强东里,大兴 黄村中 五至六环,2室1厅1厨1卫,56.43㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,,无,2024-10-27,2001-12-31,满五年,无抵押,已购公房,普通住宅,非共有,已上传房本照片,富强东里 两居室 纯南向 看房方便,169万,"29,949元/平",富强东里 -黄村中,2室1厅,56.43平米,"('中楼层(共6层)',)",,板楼,23人关注,5个月以前发布,VR房源,房本满五年,近地铁,,随时看房,https://bj.lianjia.com/ershoufang/101127282035.html
朝阳,团结湖北五条,朝阳 团结湖 三至四环,2室1厅1厨1卫,83.15㎡,,西南,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共18层),平层,塔楼,钢混结构,两梯十户,有,2025-04-03,2002-01-08,满五年,无抵押,已购公房,普通住宅,非共有,已上传房本照片,团结湖北五条 1997年建成 独立管理 精装 电梯,590万,"70,957元/平",团结湖北五条 -团结湖,2室1厅,83.15平米,"('中楼层(共18层)',)",,塔楼,20人关注,24天以前发布,VR看装修,房本满五年,近地铁,,,https://bj.lianjia.com/ershoufang/101129864184.html
大兴,灵秀山庄,大兴 旧宫 四至五环,3室2厅1厨1卫,102.18㎡,92.4㎡,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,,无,2025-01-04,2003-05-07,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,灵秀山庄：优质3居室，户型方正，满五唯一，不临街,385万,"37,679元/平",灵秀山庄 -旧宫,3室2厅,102.18平米,"('中楼层(共6层)',)",,板楼,16人关注,3个月以前发布,VR房源,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101128356358.html
朝阳,双花园西里,朝阳 双井 二至三环,2室1厅1厨1卫,54.23㎡,,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,,无,2025-01-31,2001-04-03,满五年,无抵押,已购公房,普通住宅,非共有,已上传房本照片,双花园西里装修3年中间楼层南北通透两居室,360万,"66,384元/平",双花园西里 -双井,2室1厅,54.23平米,"('6层',)",1989年,板楼,11人关注,2个月以前发布,VR看装修,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101128613426.html
通州,大方居,通州 九棵树(家乐福) 五至六环,2室1厅1厨1卫,88.77㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共22层),平层,板塔结合,钢混结构,两梯六户,有,2025-03-13,2023-12-19,未满两年,有抵押 126万元 招商银行 客户偿还,商品房,普通住宅,非共有,已上传房本照片,南北通透中间楼层，不临街，采光通风好，客厅双窗,259万,"29,177元/平",大方居 -九棵树(家乐福),2室1厅,88.77平米,"('中楼层(共22层)',)",2010年,板塔结合,14人关注,1个月以前发布,VR看装修,,,,,https://bj.lianjia.com/ershoufang/101129299922.html
