分区,小区名称,所在区域,房屋户型,建筑面积,套内面积,房屋朝向,装修情况,供暖方式,楼层高度,所在楼层,户型结构,建筑类型,建筑结构,梯户比例,配备电梯,挂牌时间,上次交易,房屋年限,抵押信息,交易权属,房屋用途,产权所属,房本备件,标题,总价,单价,地区,几室几厅,房屋面积,楼层,建立时间,户型,关注人数,发布日期,VR看装修,房本满五年,近地铁,房本满两年,随时看房,详情页
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨2卫,111.11㎡,,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共6层),平层,板楼,混合结构,一梯两户,有,2024-11-06,2007-04-18,满五年,有抵押 160万元 客户偿还,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室2厅 南 北,205万,"18,451元/平",馨港庄园三区 -李桥,2室2厅,111.11平米,"('低楼层(共6层)',)",,板楼,42人关注,5个月以前发布,VR看装修,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101127455296.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨2卫,111.11㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,一梯两户,有,2024-12-03,2023-10-30,未满两年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室2厅 南 北,230万,"20,701元/平",馨港庄园三区 -李桥,2室2厅,111.11平米,"('中楼层(共6层)',)",,板楼,5人关注,4个月以前发布,VR房源,,,,随时看房,https://bj.lianjia.com/ershoufang/101127864976.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨2卫,102.07㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),错层,板楼,混合结构,,无,2025-02-25,2024-11-08,未满两年,有抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室2厅 南 北,208万,"20,379元/平",馨港庄园三区 -李桥,2室2厅,102.07平米,"('中楼层(共6层)',)",2003年,板楼,1人关注,1个月以前发布,VR房源,,,,,https://bj.lianjia.com/ershoufang/101128987035.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室1厅1厨1卫,106.16㎡,,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共6层),平层,板楼,混合结构,,无,2025-02-25,2016-04-12,满五年,有抵押 80万元,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室1厅 南 北,210万,"19,782元/平",馨港庄园三区 -李桥,2室1厅,106.16平米,"('高楼层(共6层)',)",2004年,板楼,4人关注,1个月以前发布,VR看装修,房本满五年,,,,https://bj.lianjia.com/ershoufang/101129066986.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨1卫,106.16㎡,95.17㎡,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,,无,2025-03-21,2016-12-15,满五年,有抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室2厅 南 北,245万,"23,079元/平",馨港庄园三区 -李桥,2室2厅,106.16平米,"('中楼层(共6层)',)",2004年,板楼,3人关注,1个月以前发布,VR看装修,房本满五年,,,,https://bj.lianjia.com/ershoufang/101129596284.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨1卫,89.44㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共6层),平层,板楼,混合结构,,无,2024-11-22,2007-07-02,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室2厅 南 北,205万,"22,921元/平",馨港庄园三区 -李桥,2室2厅,89.44平米,"('高楼层(共6层)',)",2004年,板楼,1人关注,5个月以前发布,VR房源,房本满五年,,,,https://bj.lianjia.com/ershoufang/101127386334.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨1卫,106.16㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,混合结构,,无,2024-08-25,2005-01-27,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室2厅 南 北,215万,"20,253元/平",馨港庄园三区 -李桥,2室2厅,106.16平米,"('顶层(共6层)',)",2004年,板楼,3人关注,7个月以前发布,VR房源,房本满五年,,,,https://bj.lianjia.com/ershoufang/101126228045.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨1卫,85.31㎡,,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",底层 (共6层),平层,板楼,混合结构,,无,2024-08-26,2016-02-15,满五年,有抵押 78万元,商品房,普通住宅,共有,已上传房本照片,馨港庄园三区 2室2厅 南 北,240万,"28,133元/平",馨港庄园三区 -李桥,2室2厅,85.31平米,"('底层(共6层)',)",2003年,板楼,4人关注,7个月以前发布,VR房源,房本满五年,,,,https://bj.lianjia.com/ershoufang/101126204985.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨1卫,102.07㎡,91.76㎡,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共6层),错层,板楼,混合结构,,无,2025-04-24,2010-03-26,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室2厅 南 北,215万,"21,064元/平",馨港庄园三区 -李桥,2室2厅,102.07平米,"('高楼层(共6层)',)",2003年,板楼,0人关注,3天以前发布,VR看装修,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101130001230.html
顺义,馨港庄园三区,顺义 李桥 六环外,3室1厅1厨1卫,127.77㎡,,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,混合结构,,无,2025-04-16,2022-02-11,满两年,无抵押,商品房,普通住宅,共有,已上传房本照片,馨港庄园三区 3室1厅 南 北,210万,"16,436元/平",馨港庄园三区 -李桥,3室1厅,127.77平米,"('顶层(共6层)',)",2004年,板楼,2人关注,11天以前发布,VR看装修,,,房本满两年,,https://bj.lianjia.com/ershoufang/101130089094.html
顺义,馨港庄园三区,顺义 李桥 六环外,3室2厅1厨1卫,127.73㎡,115.35㎡,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,,无,2025-04-14,2009-12-26,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 3室2厅 南 北,248万,"19,416元/平",馨港庄园三区 -李桥,3室2厅,127.73平米,"('中楼层(共6层)',)",,板楼,0人关注,13天以前发布,VR房源,房本满五年,,,,https://bj.lianjia.com/ershoufang/101124909024.html
顺义,馨港庄园三区,顺义 李桥 六环外,3室1厅1厨1卫,127.8㎡,,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,混合结构,,无,2025-02-22,2017-01-13,满五年,有抵押 业主自还,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 3室1厅 南 北,240万,"18,780元/平",馨港庄园三区 -李桥,3室1厅,127.8平米,"('顶层(共6层)',)",,板楼,4人关注,2个月以前发布,VR看装修,房本满五年,,,,https://bj.lianjia.com/ershoufang/101128923527.html
顺义,馨港庄园三区,顺义 李桥 六环外,3室2厅1厨2卫,127.73㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,混合结构,,无,2024-10-29,2020-05-28,满两年,无抵押,商品房,普通住宅,共有,已上传房本照片,馨港庄园三区 3室2厅 南 北,240万,"18,790元/平",馨港庄园三区 -李桥,3室2厅,127.73平米,"('顶层(共6层)',)",,板楼,11人关注,5个月以前发布,VR看装修,,,房本满两年,,https://bj.lianjia.com/ershoufang/101127263059.html
顺义,馨港庄园二区,顺义 李桥 六环外,2室2厅1厨1卫,116㎡,,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共6层),平层,板楼,混合结构,一梯三户,有,2024-11-27,2009-09-25,满五年,有抵押 35万元,商品房,普通住宅,非共有,已上传房本照片,花园洋房有电梯 一梯两户 客厅南向落地窗 南北通透,230万,"19,828元/平",馨港庄园二区 -李桥,2室2厅,116平米,"('高楼层(共6层)',)",2005年,板楼,5人关注,4个月以前发布,VR看装修,房本满五年,,,,https://bj.lianjia.com/ershoufang/101127639253.html
顺义,馨港庄园二区,顺义 李桥 六环外,2室2厅1厨1卫,116.43㎡,,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,一梯三户,有,2025-03-12,2023-06-05,未满两年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园二区 2室2厅 南 北,225万,"19,325元/平",馨港庄园二区 -李桥,2室2厅,116.43平米,"('中楼层(共6层)',)",2005年,板楼,1人关注,1个月以前发布,VR看装修,,,,,https://bj.lianjia.com/ershoufang/101129410248.html
顺义,馨港庄园二区,顺义 李桥 六环外,2室2厅1厨2卫,110.4㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",底层 (共6层),平层,板楼,混合结构,一梯两户,有,2024-05-18,2006-11-13,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园二区 2室2厅 南 北,228万,"20,653元/平",馨港庄园二区 -李桥,2室2厅,110.4平米,"('底层(共6层)',)",,板楼,9人关注,11个月以前发布,VR看装修,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101124434882.html
顺义,馨港庄园二区,顺义 李桥 六环外,2室2厅1厨1卫,111.74㎡,95.33㎡,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",底层 (共6层),平层,板楼,混合结构,一梯两户,有,2024-07-27,2013-01-08,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园二区 满五年唯一 一层花园 南北通透,235万,"21,031元/平",馨港庄园二区 -李桥,2室2厅,111.74平米,"('底层(共6层)',)",,板楼,10人关注,8个月以前发布,VR看装修,房本满五年,,,,https://bj.lianjia.com/ershoufang/101124164313.html
顺义,馨港庄园二区,顺义 李桥 六环外,2室2厅1厨1卫,111.44㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",底层 (共6层),平层,板楼,混合结构,一梯两户,有,2023-09-15,2006-11-17,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园二区 南北通透两居室格局通透,240万,"21,537元/平",馨港庄园二区 -李桥,2室2厅,111.44平米,"('底层(共6层)',)",,板楼,4人关注,一年前发布,VR房源,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101121071498.html
顺义,馨港庄园二区,顺义 李桥 六环外,2室2厅1厨2卫,111.42㎡,,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,混合结构,一梯两户,有,2024-12-17,2010-01-15,满五年,有抵押 90万元 建行 客户偿还,商品房,普通住宅,非共有,已上传房本照片,馨港庄园二区 2室2厅 南 北,230万,"20,643元/平",馨港庄园二区 -李桥,2室2厅,111.42平米,"('顶层(共6层)',)",2005年,板楼,1人关注,4个月以前发布,VR房源,房本满五年,,,,https://bj.lianjia.com/ershoufang/101128081104.html
顺义,馨港庄园二区,顺义 李桥 六环外,2室1厅1厨2卫,111.98㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,一梯三户,有,2023-10-13,2015-10-21,满五年,有抵押 140万元 建设银行 业主自还,商品房,普通住宅,非共有,已上传房本照片,馨港庄园二区 2室1厅 南 北,230万,"20,540元/平",馨港庄园二区 -李桥,2室1厅,111.98平米,"('中楼层(共6层)',)",,板楼,3人关注,一年前发布,VR看装修,房本满五年,,,,https://bj.lianjia.com/ershoufang/101120958594.html
顺义,馨港庄园二区,顺义 李桥 六环外,2室2厅1厨2卫,111.98㎡,,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共6层),平层,板楼,混合结构,一梯三户,有,2024-12-13,2007-08-08,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园二区 2室2厅 南 北,215万,"19,200元/平",馨港庄园二区 -李桥,2室2厅,111.98平米,"('高楼层(共6层)',)",,板楼,10人关注,4个月以前发布,VR看装修,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101127399534.html
顺义,馨港庄园二区,顺义 李桥 六环外,2室1厅1厨2卫,111.74㎡,,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,一梯两户,有,2025-03-04,2020-07-03,满两年,有抵押 100万元 客户偿还,商品房,普通住宅,共有,已上传房本照片,馨港庄园二区23年精装修两居室南北朝向拎包入住,228万,"20,405元/平",馨港庄园二区 -李桥,2室1厅,111.74平米,"('中楼层(共6层)',)",,板楼,1人关注,1个月以前发布,VR看装修,,,房本满两年,,https://bj.lianjia.com/ershoufang/101129062412.html
顺义,馨港庄园二区,顺义 李桥 六环外,2室2厅1厨2卫,111.44㎡,,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,一梯两户,有,2024-10-28,2016-12-27,满五年,无抵押,商品房,普通住宅,共有,已上传房本照片,馨港庄园二区 2室2厅 南 北,215万,"19,293元/平",馨港庄园二区 -李桥,2室2厅,111.44平米,"('中楼层(共6层)',)",,板楼,14人关注,5个月以前发布,VR看装修,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101127169297.html
顺义,馨港庄园二区,顺义 李桥 六环外,2室1厅1厨2卫,111.74㎡,95.33㎡,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,混合结构,一梯两户,有,2024-10-23,2014-04-29,满五年,有抵押 业主自还,商品房,普通住宅,非共有,已上传房本照片,电梯 南北通透两室6层顶层 视野好采光足无遮挡,215万,"19,242元/平",馨港庄园二区 -李桥,2室1厅,111.74平米,"('顶层(共6层)',)",,板楼,7人关注,6个月以前发布,VR房源,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101127166824.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室1厅1厨1卫,69.24㎡,,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",底层 (共6层),平层,板楼,混合结构,,无,2024-11-25,2020-02-11,满五年,有抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室1厅 南 北,146万,"21,087元/平",馨港庄园三区 -李桥,2室1厅,69.24平米,"('底层(共6层)',)",2004年,板楼,4人关注,4个月以前发布,VR房源,房本满五年,,,,https://bj.lianjia.com/ershoufang/101127759858.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨1卫,89.44㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共6层),平层,板楼,混合结构,,无,2025-03-30,2018-11-29,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室2厅 南 北,160万,"17,890元/平",馨港庄园三区 -李桥,2室2厅,89.44平米,"('低楼层(共6层)',)",2004年,板楼,8人关注,28天以前发布,VR看装修,房本满五年,,,,https://bj.lianjia.com/ershoufang/101129637851.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨1卫,89.29㎡,,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共6层),平层,板楼,混合结构,,无,2024-11-06,2017-12-04,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,此房满五年唯一，高楼层，南北通透，业主着急出售,180万,"20,160元/平",馨港庄园三区 -李桥,2室2厅,89.29平米,"('高楼层(共6层)',)",2004年,板楼,2人关注,5个月以前发布,VR看装修,房本满五年,,,,https://bj.lianjia.com/ershoufang/101127462845.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室1厅1厨1卫,85.31㎡,,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,混合结构,,无,2024-12-01,2024-11-25,未满两年,有抵押 170万元 客户偿还,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室1厅 南 北,175万,"20,514元/平",馨港庄园三区 -李桥,2室1厅,85.31平米,"('顶层(共6层)',)",2003年,板楼,4人关注,4个月以前发布,VR房源,,,,,https://bj.lianjia.com/ershoufang/101127760927.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨1卫,89.29㎡,79.77㎡,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,,无,2024-11-22,2015-04-03,满五年,有抵押 50万元 业主自还,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室2厅 南 北,190万,"21,279元/平",馨港庄园三区 -李桥,2室2厅,89.29平米,"('中楼层(共6层)',)",2004年,板楼,3人关注,5个月以前发布,VR看装修,房本满五年,,,,https://bj.lianjia.com/ershoufang/101127089826.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室1厅1厨1卫,66.13㎡,57.92㎡,东南,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,混合结构,,无,2022-09-01,2010-04-22,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 一居室变两居室  东南把角光线好,135万,"20,415元/平",馨港庄园三区 -李桥,2室1厅,66.13平米,"('顶层(共6层)',)",2004年,板楼,18人关注,一年前发布,VR看装修,房本满五年,,,,https://bj.lianjia.com/ershoufang/101116403071.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨1卫,105.9㎡,95.89㎡,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,混合结构,,无,2023-03-06,2015-08-06,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区，精装修两居室，此房满五年唯一,266万,"25,119元/平",馨港庄园三区 -李桥,2室2厅,105.9平米,"('顶层(共6层)',)",2004年,板楼,11人关注,一年前发布,VR房源,房本满五年,,,,https://bj.lianjia.com/ershoufang/101118279581.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨1卫,89.44㎡,79.77㎡,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",底层 (共6层),平层,板楼,混合结构,,无,2024-09-29,2009-10-10,满五年,有抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室2厅 南 北,190万,"21,244元/平",馨港庄园三区 -李桥,2室2厅,89.44平米,"('底层(共6层)',)",2004年,板楼,5人关注,6个月以前发布,VR房源,房本满五年,,,,https://bj.lianjia.com/ershoufang/101126712970.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨1卫,89.29㎡,79.77㎡,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,混合结构,,无,2022-11-13,2012-09-14,满五年,有抵押 16万元 建行 客户偿还,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 正规两居室 满五唯一,188万,"21,055元/平",馨港庄园三区 -李桥,2室2厅,89.29平米,"('顶层(共6层)',)",2004年,板楼,42人关注,一年前发布,VR房源,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101117214278.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨1卫,85.31㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,,无,2025-02-25,2004-06-28,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室2厅 南 北,178万,"20,866元/平",馨港庄园三区 -李桥,2室2厅,85.31平米,"('中楼层(共6层)',)",,板楼,4人关注,1个月以前发布,VR看装修,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101128849712.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室1厅1厨1卫,85.59㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,混合结构,,无,2024-10-13,2004-07-02,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室1厅 南 北,170万,"19,863元/平",馨港庄园三区 -李桥,2室1厅,85.59平米,"('顶层(共6层)',)",2003年,板楼,11人关注,6个月以前发布,VR看装修,房本满五年,,,,https://bj.lianjia.com/ershoufang/101127051997.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室2厅1厨1卫,85.59㎡,75.77㎡,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共6层),平层,板楼,混合结构,,无,2025-01-11,2015-05-28,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室2厅 南 北,178万,"20,797元/平",馨港庄园三区 -李桥,2室2厅,85.59平米,"('高楼层(共6层)',)",,板楼,3人关注,3个月以前发布,VR房源,房本满五年,,,,https://bj.lianjia.com/ershoufang/101127817187.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室1厅1厨1卫,66.02㎡,57.92㎡,南,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,混合结构,,无,2025-01-15,2017-04-07,满五年,有抵押 70万元 业主自还,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室1厅 南,110万,"16,662元/平",馨港庄园三区 -李桥,2室1厅,66.02平米,"('顶层(共6层)',)",2004年,板楼,15人关注,3个月以前发布,VR房源,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101128514921.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室1厅1厨1卫,87.72㎡,,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,,无,2023-12-02,2018-06-27,满五年,有抵押 10万元 银行 业主自还,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 2室1厅 南 北,175万,"19,950元/平",馨港庄园三区 -李桥,2室1厅,87.72平米,"('中楼层(共6层)',)",2004年,板楼,7人关注,一年前发布,VR看装修,房本满五年,,,,https://bj.lianjia.com/ershoufang/101122142594.html
顺义,馨港庄园三区,顺义 李桥 六环外,2室1厅1厨1卫,67.97㎡,,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,混合结构,,无,2024-12-02,2018-04-12,满五年,有抵押 90万元 客户偿还,商品房,普通住宅,共有,已上传房本照片,馨港庄园三区 南北两居 价格可以谈 婚房装修 随时,150万,"22,069元/平",馨港庄园三区 -李桥,2室1厅,67.97平米,"('顶层(共6层)',)",2004年,板楼,1人关注,4个月以前发布,VR房源,房本满五年,,,,https://bj.lianjia.com/ershoufang/101127864966.html
顺义,馨港庄园三区,顺义 李桥 六环外,3室1厅1厨1卫,127.8㎡,,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,,无,2024-11-13,2021-09-01,满两年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区三室两厅南北通透明厨明卫带车位,278万,"21,753元/平",馨港庄园三区 -李桥,3室1厅,127.8平米,"('中楼层(共6层)',)",,板楼,4人关注,5个月以前发布,VR看装修,,,房本满两年,,https://bj.lianjia.com/ershoufang/101127561886.html
顺义,馨港庄园三区,顺义 李桥 六环外,3室2厅1厨1卫,127.77㎡,,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,,无,2024-11-04,2022-12-28,满两年,无抵押,商品房,普通住宅,非共有,已上传房本照片,馨港庄园三区 3室2厅 南 北,268万,"20,976元/平",馨港庄园三区 -李桥,3室2厅,127.77平米,"('中楼层(共6层)',)",2004年,板楼,2人关注,5个月以前发布,VR看装修,,,房本满两年,,https://bj.lianjia.com/ershoufang/101127238080.html
