分区,小区名称,所在区域,房屋户型,建筑面积,套内面积,房屋朝向,装修情况,供暖方式,楼层高度,所在楼层,户型结构,建筑类型,建筑结构,梯户比例,配备电梯,挂牌时间,上次交易,房屋年限,抵押信息,交易权属,房屋用途,产权所属,房本备件,标题,总价,单价,地区,几室几厅,房屋面积,楼层,建立时间,户型,关注人数,发布日期,VR看装修,房本满五年,近地铁,房本满两年,随时看房,详情页
番禺,锦绣半岛东区,番禺 南浦,2室1厅1厨1卫,87.38㎡,71.62㎡,东南,精装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共25层),平层,塔楼,钢混结构,两梯六户,有,2025-04-16,2019-07-23,满五年,有抵押 100万元 客户偿还,商品房,普通住宅,共有,已上传房本照片,电梯高层 东南向采光好，保养好，实用两房,178万,"20,371元/平",锦绣半岛东区 -南浦,2室1厅,87.38平米,"('高楼层(共25层)',)",2009年,塔楼,0人关注,12天以前发布,VR房源,房本满五年,,,,https://gz.lianjia.com/ershoufang/108407134017.html
番禺,锦绣半岛东区,番禺 南浦,2室2厅1厨1卫,79.56㎡,63.8㎡,北,精装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共26层),平层,塔楼,钢混结构,两梯六户,有,2023-09-02,2018-12-18,满五年,有抵押,商品房,普通住宅,非共有,已上传房本照片,刚需两房 方正 无遮挡 采光充足 视野宽阔 配套齐全,170万,"21,368元/平",锦绣半岛东区 -南浦,2室2厅,79.56平米,"('低楼层(共26层)',)",2012年,塔楼,8人关注,一年前发布,VR看装修,房本满五年,,,随时看房,https://gz.lianjia.com/ershoufang/108404855094.html
番禺,锦绣半岛东区,番禺 南浦,2室1厅1厨1卫,78.98㎡,,北,简装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共28层),平层,塔楼,钢混结构,两梯六户,有,2025-02-06,2014-09-04,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,锦绣半岛小区，一线江景，环境优美，交通便利。,182万,"23,044元/平",锦绣半岛东区 -南浦,2室1厅,78.98平米,"('低楼层(共28层)',)",2009年,塔楼,0人关注,2个月以前发布,VR房源,房本满五年,,,随时看房,https://gz.lianjia.com/ershoufang/108406797793.html
番禺,锦绣半岛东区,番禺 南浦,2室2厅1厨1卫,86.22㎡,70.85㎡,东南,精装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共25层),平层,,钢混结构,两梯六户,有,2024-06-22,2014-03-10,满五年,有抵押,商品房,普通住宅,非共有,已上传房本照片,高层景观 东南户型 采光充足 温馨舒适,198万,"22,965元/平",锦绣半岛东区 -南浦,2室2厅,86.22平米,"('高楼层(共25层)',)",2009年,,0人关注,10个月以前发布,VR看装修,房本满五年,,,,https://gz.lianjia.com/ershoufang/108405919825.html
番禺,锦绣半岛东区,番禺 南浦,2室1厅1厨1卫,79.62㎡,63.8㎡,北,其他,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共26层),平层,塔楼,钢混结构,两梯六户,有,2024-10-15,2014-03-10,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,锦绣半岛东区 方正两房 满五唯一,178.8万,"22,457元/平",锦绣半岛东区 -南浦,2室1厅,79.62平米,"('低楼层(共26层)',)",2009年,塔楼,1人关注,6个月以前发布,VR看装修,房本满五年,,,,https://gz.lianjia.com/ershoufang/108406386150.html
番禺,锦绣半岛东区,番禺 南浦,2室2厅1厨1卫,77.78㎡,62.75㎡,北,精装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共28层),平层,塔楼,钢混结构,两梯六户,有,2024-07-05,2017-01-23,满五年,有抵押 80万元,商品房,普通住宅,共有,已上传房本照片,锦绣半岛东区 一线江景 南北对流 通风采光好 婚房优选,181万,"23,271元/平",锦绣半岛东区 -南浦,2室2厅,77.78平米,"('中楼层(共28层)',)",2009年,塔楼,7人关注,9个月以前发布,VR看装修,房本满五年,,,,https://gz.lianjia.com/ershoufang/108405976154.html
番禺,锦绣半岛东区,番禺 南浦,2室2厅1厨1卫,78.91㎡,,南 北,简装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共28层),平层,塔楼,钢混结构,两梯六户,有,2024-10-13,2019-09-29,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,锦绣半岛东区 望江园林2房 满五唯一,182万,"23,065元/平",锦绣半岛东区 -南浦,2室2厅,78.91平米,"('低楼层(共28层)',)",2009年,塔楼,1人关注,6个月以前发布,VR看装修,房本满五年,,,,https://gz.lianjia.com/ershoufang/108406377099.html
番禺,锦绣半岛东区,番禺 南浦,2室2厅1厨1卫,85.61㎡,,南,简装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共25层),平层,塔楼,钢混结构,两梯六户,有,2024-01-14,2017-01-01,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,锦绣半岛东区2房  中层 看房方便,200万,"23,362元/平",锦绣半岛东区 -南浦,2室2厅,85.61平米,"('中楼层(共25层)',)",2012年,塔楼,2人关注,一年前发布,VR看装修,房本满五年,,,,https://gz.lianjia.com/ershoufang/108405336765.html
番禺,锦绣半岛东区,番禺 南浦,2室2厅1厨1卫,85.26㎡,70.06㎡,南,精装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共25层),平层,,钢混结构,两梯六户,有,2024-05-20,2013-09-13,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,此房満五唯一 电梯中层  装修保养新   南向视野好,180万,"21,112元/平",锦绣半岛东区 -南浦,2室2厅,85.26平米,"('低楼层(共25层)',)",2009年,,2人关注,11个月以前发布,VR看装修,房本满五年,,,,https://gz.lianjia.com/ershoufang/108405789134.html
番禺,锦绣半岛东区,番禺 南浦,2室2厅1厨1卫,78.91㎡,63.66㎡,北,精装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共28层),平层,塔楼,钢混结构,两梯六户,有,2022-05-06,2020-05-15,满两年,有抵押,商品房,普通住宅,非共有,已上传房本照片,两房望花园，格局方正，无遮挡视野好,200万,"25,346元/平",锦绣半岛东区 -南浦,2室2厅,78.91平米,"('低楼层(共28层)',)",2012年,塔楼,0人关注,一年前发布,VR看装修,,,房本满两年,,https://gz.lianjia.com/ershoufang/108403338361.html
