分区,小区名称,所在区域,房屋户型,建筑面积,套内面积,房屋朝向,装修情况,供暖方式,楼层高度,所在楼层,户型结构,建筑类型,建筑结构,梯户比例,配备电梯,挂牌时间,上次交易,房屋年限,抵押信息,交易权属,房屋用途,产权所属,房本备件,标题,总价,单价,地区,几室几厅,房屋面积,楼层,建立时间,户型,关注人数,发布日期,VR看装修,房本满五年,近地铁,房本满两年,随时看房,详情页
罗湖区,兴业大厦,罗湖区 春风路,4室2厅2厨2卫,89.92㎡,,南,其他,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共19层),平层,塔楼,钢混结构,两梯八户,有,2024-12-15,2013-01-01,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,兴业大厦  标准4房 四房两厅两厨两卫 价格好 诚心卖,315万,"35,032元/平",兴业大厦 -春风路,4室2厅,89.92平米,"('19层',)",1984年,塔楼,3人关注,4个月以前发布,VR看装修,房本满五年,近地铁,,随时看房,https://sz.lianjia.com/ershoufang/105119214869.html
罗湖区,云峰花园,罗湖区 春风路,4室2厅1厨2卫,88.6㎡,,东南 东北,简装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共33层),平层,塔楼,钢混结构,三梯九户,有,2025-02-22,,,有抵押 230万元 银行 客户偿还,商品房,普通住宅,非共有,未上传房本照片,碧桂园物业 管理好 停车位充足 交通方便 户型实用,315万,"35,554元/平",云峰花园 -春风路,4室2厅,88.6平米,"('33层',)",1997年,塔楼,1人关注,2个月以前发布,VR看装修,,,,随时看房,https://sz.lianjia.com/ershoufang/105119791182.html
罗湖区,瑞丰大厦,罗湖区 春风路,4室1厅1厨1卫,71.43㎡,,西南,其他,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共20层),平层,板塔结合,框架结构,两梯八户,有,2024-09-04,,,无抵押,商品房,普通住宅,非共有,未上传房本照片,罗湖口岸四房一厅，采光通风好，户型方正,420万,"58,799元/平",瑞丰大厦 -春风路,4室1厅,71.43平米,"('中楼层(共20层)',)",1992年,板塔结合,0人关注,7个月以前发布,VR房源,,,,,https://sz.lianjia.com/ershoufang/105118180060.html
罗湖区,云峰花园,罗湖区 春风路,3室2厅1厨1卫,86.43㎡,,西南,精装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共33层),平层,塔楼,钢混结构,三梯九户,有,2025-03-06,,,无抵押,商品房,普通住宅,非共有,未上传房本照片,地铁口 满五红本 业主诚心卖 看房方便,350万,"40,496元/平",云峰花园 -春风路,3室2厅,86.43平米,"('33层',)",1997年,塔楼,2人关注,1个月以前发布,VR看装修,,,,随时看房,https://sz.lianjia.com/ershoufang/105119941015.html
罗湖区,经贸楼,罗湖区 春风路,2室1厅1厨1卫,79.66㎡,,南 北,其他,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,砖混结构,两梯五户,有,2024-06-21,2016-01-01,未满两年,无抵押,商品房,普通住宅,共有,未上传房本照片,满五年精舍，得房率优，近金光华，高楼层,350万,"43,937元/平",经贸楼 -春风路,2室1厅,79.66平米,"('中楼层(共6层)',)",,板楼,2人关注,10个月以前发布,VR看装修,,近地铁,,,https://sz.lianjia.com/ershoufang/105117359998.html
罗湖区,兴隆大厦,罗湖区 春风路,3室1厅1厨1卫,70.02㎡,,东 东北,其他,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共30层),,板塔结合,框架结构,三梯八户,有,2025-04-10,,,有抵押,商品房,普通住宅,非共有,未上传房本照片,兴隆大厦  三居室 格局方正 业主诚心出售,310万,"44,274元/平",兴隆大厦 -春风路,3室1厅,70.02平米,"('高楼层(共30层)',)",1990年,板塔结合,0人关注,19天以前发布,VR看装修,,近地铁,,,https://sz.lianjia.com/ershoufang/105120351483.html
罗湖区,深华商业大厦,罗湖区 春风路,2室1厅1厨1卫,78.5㎡,,南,精装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共28层),平层,板塔结合,框架结构,两梯八户,有,2023-12-20,,,无抵押,商品房,普通住宅,共有,未上传房本照片,国贸1号线 大两房 红本在手 看房提前,345万,"43,950元/平",深华商业大厦 -春风路,2室1厅,78.5平米,"('中楼层(共28层)',)",2003年,板塔结合,3人关注,一年前发布,VR房源,,近地铁,,,https://sz.lianjia.com/ershoufang/105115655120.html
罗湖区,佳宁娜广场,罗湖区 春风路,2室1厅1厨1卫,76.61㎡,59.17㎡,西南 西 西北,精装,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共26层),平层,板塔结合,框架结构,三梯十一户,有,2023-09-20,2015-06-19,满五年,有抵押 经营贷,商品房,普通住宅,非共有,已上传房本照片,满五唯一，红本在手，近罗湖口岸和地铁，交通便利,310万,"40,465元/平",佳宁娜广场 -春风路,2室1厅,76.61平米,"('中楼层(共26层)',)",1997年,板塔结合,5人关注,一年前发布,VR看装修,房本满五年,近地铁,,,https://sz.lianjia.com/ershoufang/105114852658.html
罗湖区,佳宁娜广场,罗湖区 春风路,2室1厅1厨1卫,81.2㎡,,北,其他,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共31层),平层,板塔结合,钢混结构,三梯六户,有,2025-02-11,,,无抵押,商品房,普通住宅,非共有,未上传房本照片,近罗湖口岸 双地铁 佳宁娜广场 大二房 户型方正,305万,"37,562元/平",佳宁娜广场 -春风路,2室1厅,81.2平米,"('高楼层(共31层)',)",1997年,板塔结合,0人关注,2个月以前发布,VR看装修,,近地铁,,,https://sz.lianjia.com/ershoufang/105119642949.html
罗湖区,佳宁娜广场,罗湖区 春风路,3室2厅1厨1卫,85.03㎡,,南,其他,,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共26层),平层,板塔结合,框架结构,三梯八户,有,2024-10-09,,,有抵押,商品房,普通住宅,非共有,未上传房本照片,精装修楼层好，采光充足，交通便利。,350万,"41,162元/平",佳宁娜广场 -春风路,3室2厅,85.03平米,"('高楼层(共26层)',)",1997年,板塔结合,0人关注,6个月以前发布,VR看装修,,近地铁,,,https://sz.lianjia.com/ershoufang/105118534084.html
