小区名称,房屋朝向,装修情况,供暖方式,户型结构,建筑类型,建筑结构,梯户比例,配备电梯,挂牌时间,上次交易,房屋年限,抵押信息,交易权属,房屋用途,产权所属,关注人数,发布日期,VR看装修,近地铁,随时看房,详情页,楼层高低,楼层总高度,区,街道,环线位置,居住空间,功能间,总价(万元),单价(元/平),房屋面积(平米),地址,lat,lon
锦绣半岛东区,东南,精装,,平层,塔楼,钢混结构,两梯六户,有,2025-04-16,2019-07-23,满五年,有抵押,商品房,普通住宅,共有,0,12天以前发布,VR房源,,,https://gz.lianjia.com/ershoufang/108407134017.html,高楼层,25,番禺,南浦,,2室1厅,1厨1卫,178.0,20371,87.38,广州市番禺南浦锦绣半岛东区,23.044861,113.261564
锦绣半岛东区,北,精装,,平层,塔楼,钢混结构,两梯六户,有,2023-09-02,2018-12-18,满五年,有抵押,商品房,普通住宅,非共有,8,一年前发布,VR看装修,,随时看房,https://gz.lianjia.com/ershoufang/108404855094.html,低楼层,26,番禺,南浦,,2室2厅,1厨1卫,170.0,21368,79.56,广州市番禺南浦锦绣半岛东区,23.044861,113.261564
锦绣半岛东区,北,简装,,平层,塔楼,钢混结构,两梯六户,有,2025-02-06,2014-09-04,满五年,无抵押,商品房,普通住宅,非共有,0,2个月以前发布,VR房源,,随时看房,https://gz.lianjia.com/ershoufang/108406797793.html,低楼层,28,番禺,南浦,,2室1厅,1厨1卫,182.0,23044,78.98,广州市番禺南浦锦绣半岛东区,23.044861,113.261564
锦绣半岛东区,东南,精装,,平层,,钢混结构,两梯六户,有,2024-06-22,2014-03-10,满五年,有抵押,商品房,普通住宅,非共有,0,10个月以前发布,VR看装修,,,https://gz.lianjia.com/ershoufang/108405919825.html,高楼层,25,番禺,南浦,,2室2厅,1厨1卫,198.0,22965,86.22,广州市番禺南浦锦绣半岛东区,23.044861,113.261564
锦绣半岛东区,北,其他,,平层,塔楼,钢混结构,两梯六户,有,2024-10-15,2014-03-10,满五年,无抵押,商品房,普通住宅,非共有,1,6个月以前发布,VR看装修,,,https://gz.lianjia.com/ershoufang/108406386150.html,低楼层,26,番禺,南浦,,2室1厅,1厨1卫,178.8,22457,79.62,广州市番禺南浦锦绣半岛东区,23.044861,113.261564
锦绣半岛东区,北,精装,,平层,塔楼,钢混结构,两梯六户,有,2024-07-05,2017-01-23,满五年,有抵押,商品房,普通住宅,共有,7,9个月以前发布,VR看装修,,,https://gz.lianjia.com/ershoufang/108405976154.html,中楼层,28,番禺,南浦,,2室2厅,1厨1卫,181.0,23271,77.78,广州市番禺南浦锦绣半岛东区,23.044861,113.261564
锦绣半岛东区,南 北,简装,,平层,塔楼,钢混结构,两梯六户,有,2024-10-13,2019-09-29,满五年,无抵押,商品房,普通住宅,非共有,1,6个月以前发布,VR看装修,,,https://gz.lianjia.com/ershoufang/108406377099.html,低楼层,28,番禺,南浦,,2室2厅,1厨1卫,182.0,23065,78.91,广州市番禺南浦锦绣半岛东区,23.044861,113.261564
锦绣半岛东区,南,简装,,平层,塔楼,钢混结构,两梯六户,有,2024-01-14,2017-01-01,满五年,无抵押,商品房,普通住宅,非共有,2,一年前发布,VR看装修,,,https://gz.lianjia.com/ershoufang/108405336765.html,中楼层,25,番禺,南浦,,2室2厅,1厨1卫,200.0,23362,85.61,广州市番禺南浦锦绣半岛东区,23.044861,113.261564
锦绣半岛东区,南,精装,,平层,,钢混结构,两梯六户,有,2024-05-20,2013-09-13,满五年,无抵押,商品房,普通住宅,非共有,2,11个月以前发布,VR看装修,,,https://gz.lianjia.com/ershoufang/108405789134.html,低楼层,25,番禺,南浦,,2室2厅,1厨1卫,180.0,21112,85.26,广州市番禺南浦锦绣半岛东区,23.044861,113.261564
锦绣半岛东区,北,精装,,平层,塔楼,钢混结构,两梯六户,有,2022-05-06,2020-05-15,满两年,有抵押,商品房,普通住宅,非共有,0,一年前发布,VR看装修,,,https://gz.lianjia.com/ershoufang/108403338361.html,低楼层,28,番禺,南浦,,2室2厅,1厨1卫,200.0,25346,78.91,广州市番禺南浦锦绣半岛东区,23.044861,113.261564
