小区名称,房屋朝向,装修情况,供暖方式,户型结构,建筑类型,建筑结构,梯户比例,配备电梯,挂牌时间,上次交易,房屋年限,抵押信息,交易权属,房屋用途,产权所属,关注人数,发布日期,VR看装修,近地铁,随时看房,详情页,楼层高低,楼层总高度,区,街道,环线位置,居住空间,功能间,总价(万元),单价(元/平),房屋面积(平米),地址,lat,lon
馨港庄园三区,南 北,精装,集中供暖,平层,板楼,混合结构,一梯两户,有,2024/11/6,2007/4/18,满五年,有抵押,商品房,普通住宅,非共有,42,5个月以前发布,VR看装修,,随时看房,https://bj.lianjia.com/ershoufang/101127455296.html,低楼层,6,顺义,李桥,六环外,2室2厅,1厨2卫,205,18451,111.11,北京市顺义李桥馨港庄园三区,40.030962,116.67091
馨港庄园三区,南 北,简装,集中供暖,平层,板楼,混合结构,一梯两户,有,2024/12/3,2023/10/30,未满两年,无抵押,商品房,普通住宅,非共有,5,4个月以前发布,VR房源,,随时看房,https://bj.lianjia.com/ershoufang/101127864976.html,中楼层,6,顺义,李桥,六环外,2室2厅,1厨2卫,230,20701,111.11,北京市顺义李桥馨港庄园三区,40.030962,116.67091
馨港庄园三区,南 北,简装,集中供暖,错层,板楼,混合结构,无电梯,无,2025/2/25,2024/11/8,未满两年,有抵押,商品房,普通住宅,非共有,1,1个月以前发布,VR房源,,,https://bj.lianjia.com/ershoufang/101128987035.html,中楼层,6,顺义,李桥,六环外,2室2厅,1厨2卫,208,20379,102.07,北京市顺义李桥馨港庄园三区,40.030962,116.67091
馨港庄园三区,南 北,其他,集中供暖,平层,板楼,混合结构,无电梯,无,2025/2/25,2016/4/12,满五年,有抵押,商品房,普通住宅,非共有,4,1个月以前发布,VR看装修,,,https://bj.lianjia.com/ershoufang/101129066986.html,高楼层,6,顺义,李桥,六环外,2室1厅,1厨1卫,210,19782,106.16,北京市顺义李桥馨港庄园三区,40.030962,116.67091
馨港庄园三区,南 北,其他,集中供暖,平层,板楼,混合结构,无电梯,无,2025/3/21,2016/12/15,满五年,有抵押,商品房,普通住宅,非共有,3,1个月以前发布,VR看装修,,,https://bj.lianjia.com/ershoufang/101129596284.html,中楼层,6,顺义,李桥,六环外,2室2厅,1厨1卫,245,23079,106.16,北京市顺义李桥馨港庄园三区,40.030962,116.67091
馨港庄园三区,南 北,简装,集中供暖,平层,板楼,混合结构,无电梯,无,2024/11/22,2007/7/2,满五年,无抵押,商品房,普通住宅,非共有,1,5个月以前发布,VR房源,,,https://bj.lianjia.com/ershoufang/101127386334.html,高楼层,6,顺义,李桥,六环外,2室2厅,1厨1卫,205,22921,89.44,北京市顺义李桥馨港庄园三区,40.030962,116.67091
馨港庄园三区,南 北,简装,集中供暖,平层,板楼,混合结构,无电梯,无,2024/8/25,2005/1/27,满五年,无抵押,商品房,普通住宅,非共有,3,7个月以前发布,VR房源,,,https://bj.lianjia.com/ershoufang/101126228045.html,顶层,6,顺义,李桥,六环外,2室2厅,1厨1卫,215,20253,106.16,北京市顺义李桥馨港庄园三区,40.030962,116.67091
馨港庄园三区,南 北,精装,集中供暖,平层,板楼,混合结构,无电梯,无,2024/8/26,2016/2/15,满五年,有抵押,商品房,普通住宅,共有,4,7个月以前发布,VR房源,,,https://bj.lianjia.com/ershoufang/101126204985.html,底层,6,顺义,李桥,六环外,2室2厅,1厨1卫,240,28133,85.31,北京市顺义李桥馨港庄园三区,40.030962,116.67091
馨港庄园三区,南 北,其他,集中供暖,错层,板楼,混合结构,无电梯,无,2025/4/24,2010/3/26,满五年,无抵押,商品房,普通住宅,非共有,0,3天以前发布,VR看装修,,随时看房,https://bj.lianjia.com/ershoufang/101130001230.html,高楼层,6,顺义,李桥,六环外,2室2厅,1厨1卫,215,21064,102.07,北京市顺义李桥馨港庄园三区,40.030962,116.67091
馨港庄园三区,南 北,其他,集中供暖,平层,板楼,混合结构,无电梯,无,2025/4/16,2022/2/11,满两年,无抵押,商品房,普通住宅,共有,2,11天以前发布,VR看装修,,,https://bj.lianjia.com/ershoufang/101130089094.html,顶层,6,顺义,李桥,六环外,3室1厅,1厨1卫,210,16436,127.77,北京市顺义李桥馨港庄园三区,40.030962,116.67091
馨港庄园三区,南 北,其他,集中供暖,平层,板楼,混合结构,无电梯,无,2025/4/14,2009/12/26,满五年,无抵押,商品房,普通住宅,非共有,0,13天以前发布,VR房源,,,https://bj.lianjia.com/ershoufang/101124909024.html,中楼层,6,顺义,李桥,六环外,3室2厅,1厨1卫,248,19416,127.73,北京市顺义李桥馨港庄园三区,40.030962,116.67091
馨港庄园三区,南 北,其他,集中供暖,平层,板楼,混合结构,无电梯,无,2025/2/22,2017/1/13,满五年,有抵押,商品房,普通住宅,非共有,4,2个月以前发布,VR看装修,,,https://bj.lianjia.com/ershoufang/101128923527.html,顶层,6,顺义,李桥,六环外,3室1厅,1厨1卫,240,18780,127.8,北京市顺义李桥馨港庄园三区,40.030962,116.67091
馨港庄园三区,南 北,简装,集中供暖,平层,板楼,混合结构,无电梯,无,2024/10/29,2020/5/28,满两年,无抵押,商品房,普通住宅,共有,11,5个月以前发布,VR看装修,,,https://bj.lianjia.com/ershoufang/101127263059.html,顶层,6,顺义,李桥,六环外,3室2厅,1厨2卫,240,18790,127.73,北京市顺义李桥馨港庄园三区,40.030962,116.67091
馨港庄园二区,南 北,其他,集中供暖,平层,板楼,混合结构,一梯三户,有,2024/11/27,2009/9/25,满五年,有抵押,商品房,普通住宅,非共有,5,4个月以前发布,VR看装修,,,https://bj.lianjia.com/ershoufang/101127639253.html,高楼层,6,顺义,李桥,六环外,2室2厅,1厨1卫,230,19828,116,北京市顺义李桥馨港庄园二区,40.03385,116.669204
