小区名称,房屋朝向,装修情况,供暖方式,户型结构,建筑类型,建筑结构,梯户比例,配备电梯,挂牌时间,上次交易,房屋年限,抵押信息,交易权属,房屋用途,产权所属,关注人数,发布日期,VR看装修,近地铁,随时看房,详情页,楼层高低,楼层总高度,区,街道,环线位置,居住空间,功能间,总价(万元),单价(元/平),房屋面积(平米),地址,lat,lon
兴业大厦,南,其他,,平层,塔楼,钢混结构,两梯八户,有,2024-12-15,2013-01-01,满五年,无抵押,商品房,普通住宅,非共有,3,4个月以前发布,VR看装修,近地铁,随时看房,https://sz.lianjia.com/ershoufang/105119214869.html,高楼层,19,罗湖区,春风路,,4室2厅,2厨2卫,315.0,35032,89.92,深圳市罗湖区春风路兴业大厦,22.54257,114.11968
云峰花园,东南 东北,简装,,平层,塔楼,钢混结构,三梯九户,有,2025-02-22,,,有抵押,商品房,普通住宅,非共有,1,2个月以前发布,VR看装修,,随时看房,https://sz.lianjia.com/ershoufang/105119791182.html,中楼层,33,罗湖区,春风路,,4室2厅,1厨2卫,315.0,35554,88.6,深圳市罗湖区春风路云峰花园,22.538255,114.122917
瑞丰大厦,西南,其他,,平层,板塔结合,框架结构,两梯八户,有,2024-09-04,,,无抵押,商品房,普通住宅,非共有,0,7个月以前发布,VR房源,,,https://sz.lianjia.com/ershoufang/105118180060.html,中楼层,20,罗湖区,春风路,,4室1厅,1厨1卫,420.0,58799,71.43,深圳市罗湖区春风路瑞丰大厦,22.536587,114.125418
云峰花园,西南,精装,,平层,塔楼,钢混结构,三梯九户,有,2025-03-06,,,无抵押,商品房,普通住宅,非共有,2,1个月以前发布,VR看装修,,随时看房,https://sz.lianjia.com/ershoufang/105119941015.html,高楼层,33,罗湖区,春风路,,3室2厅,1厨1卫,350.0,40496,86.43,深圳市罗湖区春风路云峰花园,22.538255,114.122917
经贸楼,南 北,其他,,平层,板楼,砖混结构,两梯五户,有,2024-06-21,2016-01-01,未满两年,无抵押,商品房,普通住宅,共有,2,10个月以前发布,VR看装修,近地铁,,https://sz.lianjia.com/ershoufang/105117359998.html,中楼层,6,罗湖区,春风路,,2室1厅,1厨1卫,350.0,43937,79.66,深圳市罗湖区春风路经贸楼,22.542566,114.131662
兴隆大厦,东 东北,其他,,,板塔结合,框架结构,三梯八户,有,2025-04-10,,,有抵押,商品房,普通住宅,非共有,0,19天以前发布,VR看装修,近地铁,,https://sz.lianjia.com/ershoufang/105120351483.html,高楼层,30,罗湖区,春风路,,3室1厅,1厨1卫,310.0,44274,70.02,深圳市罗湖区春风路兴隆大厦,22.542533,114.120062
深华商业大厦,南,精装,,平层,板塔结合,框架结构,两梯八户,有,2023-12-20,,,无抵押,商品房,普通住宅,共有,3,一年前发布,VR房源,近地铁,,https://sz.lianjia.com/ershoufang/105115655120.html,中楼层,28,罗湖区,春风路,,2室1厅,1厨1卫,345.0,43950,78.5,深圳市罗湖区春风路深华商业大厦,22.540781,114.121218
佳宁娜广场,西南 西 西北,精装,,平层,板塔结合,框架结构,三梯十一户,有,2023-09-20,2015-06-19,满五年,有抵押,商品房,普通住宅,非共有,5,一年前发布,VR看装修,近地铁,,https://sz.lianjia.com/ershoufang/105114852658.html,中楼层,26,罗湖区,春风路,,2室1厅,1厨1卫,310.0,40465,76.61,深圳市罗湖区春风路佳宁娜广场,22.536865,114.119876
佳宁娜广场,北,其他,,平层,板塔结合,钢混结构,三梯六户,有,2025-02-11,,,无抵押,商品房,普通住宅,非共有,0,2个月以前发布,VR看装修,近地铁,,https://sz.lianjia.com/ershoufang/105119642949.html,高楼层,31,罗湖区,春风路,,2室1厅,1厨1卫,305.0,37562,81.2,深圳市罗湖区春风路佳宁娜广场,22.536865,114.119876
佳宁娜广场,南,其他,,平层,板塔结合,框架结构,三梯八户,有,2024-10-09,,,有抵押,商品房,普通住宅,非共有,0,6个月以前发布,VR看装修,近地铁,,https://sz.lianjia.com/ershoufang/105118534084.html,高楼层,26,罗湖区,春风路,,3室2厅,1厨1卫,350.0,41162,85.03,深圳市罗湖区春风路佳宁娜广场,22.536865,114.119876
