小区名称,房屋朝向,装修情况,供暖方式,户型结构,建筑类型,建筑结构,梯户比例,配备电梯,挂牌时间,上次交易,房屋年限,抵押信息,交易权属,房屋用途,产权所属,关注人数,发布日期,VR看装修,近地铁,随时看房,详情页,楼层高低,楼层总高度,区,街道,环线位置,居住空间,功能间,总价(万元),单价(元/平),房屋面积(平米),地址,lat,lon
佳景公寓,东,简装,,平层,板楼,钢混结构,无电梯,无,2024-09-11,2014-08-01,满五年,无抵押,商品房,普通住宅,共有,86,7个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107110782084.html,中楼层,7,普陀,甘泉宜川,内环内,2室1厅,1厨1卫,380.0,41377,91.84,上海市普陀甘泉宜川佳景公寓,31.255798,121.445146
佳景公寓,南,精装,,平层,板楼,钢混结构,无电梯,无,2023-11-05,2021-07-08,满两年,无抵押,商品房,普通住宅,非共有,52,一年前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107108423757.html,中楼层,7,普陀,甘泉宜川,内环内,2室2厅,1厨1卫,509.0,56356,90.32,上海市普陀甘泉宜川佳景公寓,31.255798,121.445146
华经大厦,南,简装,,平层,塔楼,钢混结构,两梯八户,有,2024-11-06,2016-12-19,满五年,有抵押,商品房,普通住宅,共有,5,5个月以前发布,VR房源,近地铁,,https://sh.lianjia.com/ershoufang/107111260926.html,中楼层,24,普陀,甘泉宜川,内环至中环,2室2厅,1厨1卫,465.0,49627,93.7,上海市普陀甘泉宜川华经大厦,31.257832,121.444798
宜川华庭,南,简装,,平层,板楼,钢混结构,两梯四户,有,2025-04-19,2013-03-21,满五年,无抵押,商品房,普通住宅,非共有,2,9天以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107112653420.html,高楼层,22,普陀,甘泉宜川,内环至中环,2室1厅,1厨2卫,720.0,70860,101.61,上海市普陀甘泉宜川宜川华庭,31.259753,121.439445
华经大厦,南,精装,,平层,塔楼,钢混结构,两梯八户,有,2025-02-15,2021-08-04,满两年,无抵押,商品房,普通住宅,非共有,2,2个月以前发布,VR房源,近地铁,,https://sh.lianjia.com/ershoufang/107112003656.html,中楼层,24,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,490.0,52295,93.7,上海市普陀甘泉宜川华经大厦,31.257832,121.444798
宜川华庭,南,简装,,平层,板楼,钢混结构,两梯四户,有,2025-03-03,2018-06-19,满五年,无抵押,商品房,普通住宅,非共有,5,1个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107112177764.html,低楼层,22,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,675.0,66431,101.61,上海市普陀甘泉宜川宜川华庭,31.259753,121.439445
智荟苑,南,精装,,平层,板楼,钢混结构,两梯五户,有,2023-08-09,2004-02-22,满五年,无抵押,商品房,普通住宅,共有,41,一年前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107107747075.html,低楼层,28,普陀,甘泉宜川,内环内,2室2厅,1厨1卫,730.0,71682,101.84,上海市普陀甘泉宜川智荟苑,31.255895,121.447049
龚家宅,南 北,简装,,平层,板楼,砖混结构,无电梯,无,2023-06-27,2003-12-17,满五年,有抵押,商品房,普通住宅,非共有,97,一年前发布,VR看装修,近地铁,随时看房,https://sh.lianjia.com/ershoufang/107107438117.html,中楼层,6,普陀,甘泉宜川,内环内,2室1厅,1厨1卫,208.0,40849,50.92,上海市普陀甘泉宜川龚家宅,31.259873,121.443961
龚家宅,南,精装,,平层,板楼,砖混结构,一梯六户,有,2025-04-20,2016-04-09,满五年,无抵押,商品房,普通住宅,非共有,6,8天以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107112659543.html,高楼层,6,普陀,甘泉宜川,内环内,2室1厅,1厨1卫,283.0,50222,56.35,上海市普陀甘泉宜川龚家宅,31.259873,121.443961
平江盛世家园,东 北,精装,,平层,塔楼,钢混结构,两梯八户,有,2024-03-21,2019-12-10,满五年,有抵押,商品房,普通住宅,共有,33,一年前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107109316201.html,低楼层,27,普陀,甘泉宜川,内环内,2室1厅,1厨1卫,350.0,54005,64.81,上海市普陀甘泉宜川平江盛世家园,31.256276,121.448567
赵家花园,南,精装,,平层,板楼,砖混结构,无电梯,无,2023-10-14,2017-12-13,满五年,无抵押,商品房,普通住宅,非共有,4,一年前发布,VR房源,近地铁,,https://sh.lianjia.com/ershoufang/107108256400.html,高楼层,6,普陀,甘泉宜川,,2室1厅,1厨1卫,310.0,56560,54.81,上海市普陀甘泉宜川赵家花园,31.260428,121.442256
平江盛世家园,南,精装,,平层,塔楼,钢混结构,两梯八户,有,2024-05-07,2022-11-18,满两年,有抵押,商品房,普通住宅,非共有,64,11个月以前发布,VR看装修,,,https://sh.lianjia.com/ershoufang/107109670877.html,低楼层,24,普陀,甘泉宜川,内环内,2室1厅,0厨1卫,395.0,55744,70.86,上海市普陀甘泉宜川平江盛世家园,31.256276,121.448567
宜川一村,南,简装,,平层,板楼,砖混结构,无电梯,无,2025-03-06,2000-12-31,满五年,无抵押,商品房,普通住宅,共有,8,1个月以前发布,VR看装修,近地铁,随时看房,https://sh.lianjia.com/ershoufang/107112210465.html,高楼层,5,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,268.0,44990,59.57,上海市普陀甘泉宜川宜川一村,31.235988,121.422403
宜川六村,南,简装,,平层,板楼,砖混结构,无电梯,无,2024-10-23,2002-09-04,满五年,无抵押,商品房,普通住宅,非共有,79,6个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107111145314.html,高楼层,6,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,199.0,40025,49.72,上海市普陀甘泉宜川宜川六村,31.259009,121.440237
宜川三村,南,简装,,平层,板楼,砖混结构,无电梯,无,2024-04-01,2003-03-31,满五年,无抵押,商品房,普通住宅,非共有,73,一年前发布,VR看装修,近地铁,随时看房,https://sh.lianjia.com/ershoufang/107109403842.html,高楼层,5,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,199.0,39928,49.84,上海市普陀甘泉宜川宜川三村,31.259873,121.443961
赵家花园,南,精装,,平层,板楼,砖混结构,无电梯,无,2025-03-04,2021-02-08,满两年,无抵押,商品房,普通住宅,共有,3,1个月以前发布,VR房源,近地铁,,https://sh.lianjia.com/ershoufang/107112186110.html,低楼层,6,普陀,甘泉宜川,,2室1厅,1厨1卫,230.0,50044,45.96,上海市普陀甘泉宜川赵家花园,31.260428,121.442256
宜川一村,南,简装,,平层,板楼,砖混结构,无电梯,无,2024-06-18,2024-12-09,未满两年,无抵押,商品房,普通住宅,共有,18,10个月以前发布,VR看装修,近地铁,随时看房,https://sh.lianjia.com/ershoufang/107110018025.html,低楼层,6,普陀,甘泉宜川,内环至中环,2室0厅,1厨1卫,185.0,45144,40.98,上海市普陀甘泉宜川宜川一村,31.235988,121.422403
宜川六村,南,简装,,平层,板楼,砖混结构,无电梯,无,2023-09-29,2012-07-30,满五年,无抵押,商品房,普通住宅,非共有,57,一年前发布,VR看装修,近地铁,随时看房,https://sh.lianjia.com/ershoufang/107108151185.html,中楼层,6,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,236.0,48510,48.65,上海市普陀甘泉宜川宜川六村,31.259009,121.440237
宜川三村,南,简装,,平层,板楼,砖混结构,无电梯,无,2024-08-04,2016-10-31,满五年,无抵押,商品房,普通住宅,非共有,6,8个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107110424063.html,中楼层,5,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,300.0,52274,57.39,上海市普陀甘泉宜川宜川三村,31.259873,121.443961
赵家花园,南,精装,,平层,板楼,砖混结构,无电梯,无,2024-06-08,,,无抵押,商品房,普通住宅,非共有,11,10个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107109934605.html,低楼层,6,普陀,甘泉宜川,,2室1厅,1厨1卫,268.0,52161,51.38,上海市普陀甘泉宜川赵家花园,31.260428,121.442256
宜洛馨苑,南,毛坯,,平层,板楼,钢混结构,一梯五户,有,2024-03-22,2024-01-02,未满两年,无抵押,商品房,普通住宅,非共有,42,一年前发布,VR看装修,近地铁,随时看房,https://sh.lianjia.com/ershoufang/107109321081.html,中楼层,7,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,260.0,48808,53.27,上海市普陀甘泉宜川宜洛馨苑,31.258117,121.438949
赵家花园,南 北,简装,,平层,板楼,砖混结构,无电梯,无,2023-08-25,2017-05-18,满五年,无抵押,商品房,普通住宅,非共有,8,一年前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107107864810.html,高楼层,6,普陀,甘泉宜川,,2室1厅,1厨1卫,320.0,57287,55.86,上海市普陀甘泉宜川赵家花园,31.260428,121.442256
平江盛世家园,北,精装,,平层,塔楼,钢混结构,两梯八户,有,2023-02-19,2013-05-27,满五年,无抵押,商品房,普通住宅,非共有,58,一年前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107106524534.html,低楼层,26,普陀,甘泉宜川,内环内,2室1厅,1厨1卫,350.0,57060,61.34,上海市普陀甘泉宜川平江盛世家园,31.256276,121.448567
